station.wq.bryte.internal,cage,site
E3S811920110,FM1,FirstMallard
E3S81182017,FM2,FirstMallard
E3S811720110,FM3,FirstMallard
E3S81191549,DN1,Denverton
E3S811101550,DN2,Denverton
E3S811101553,DN3,Denverton
E3S81031544,AR1,Arnold
E3S81051544,AR2,Arnold
E3S81071545,AR3,Arnold
B9S80231523,BR2,Brown
B9S80221524,BR3,Brown
B9S80241522,BR4,Brown
E3S81051561,CR1,Cross
E3S81041559,CR2,Cross
E3S81041558,CR3,Cross
E3S80482010,RY1,Ryer
E3S804102007,RY2,Ryer
E3S80462005,RY3,Ryer
E3S80462003,RY4,Ryer
E3S80192049,PC1,Pacheco
E3S80212052,PC3,Pacheco
E3S80192066,PYK1,Peyton-Kill Cage
E3S80202066,PYK2,Peyton-Kill Cage
