Long Station Name,Station_Name,Geographic Description,Latitude,Longitude,Notes,Station Number
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,,38.567,-121.63823,,A0033300
Sacramento River at Sherwood Harbor ,SHR,River right in Sacramento River at Sherwood Harbor Marina & RV Park,38.53188,-121.528,,A0200000
Sacramento River at West Sacramento Intake Structure,West Sac Intake,Sacramento,38.598,-121.5494,,A0210451
Ag Drain on Colusa Basin Main Drain,Colusa,Upstream Sacramento River Valley,38.7993,-121.7252,,A0294500
,Sutter Bypass at Kirkville Road,Upstream Sacramento River Valley,38.909178,-121.638556,,A0491630
Feather River near Garwood Road,Garwood,Upstream Sacramento River Valley,38.893833,-121.5985,,A0510250
American River at Water Treatment Plant,American River at WTP,"American River, Sacramento",38.5596,-121.4169,,A0714010
,Barker Slough at Cook Road,Cache Slough,38.2841,-121.8238,,A0922000
Rominger Bridge at Colusa Basin Drain,RMB - Rominger,Above Knights Landing Outflow Gates,38.81221,-121.77425,Not sampled in all years,A0C85051515
Screw Trap in  Toe Drain,STTD,Center of channel at base of Yolo Bypass tidal slough in the Toe Drain,38.35338,-121.643,,A0D82120386
Toe Drain at Interstate 80,Toe Drain@ I-80,,38.573111,-121.582958,,A0D83441350
Toe Drain at Rd. 22 West,Toe Drain at Rd. 22,,38.676385,-121.644315,,A0D84061386
Ridge Cut Slough at Knights Landing,Ridge Cut Slough,"Ridge Cut Slough at Hwy. 113, Land, Upstream",38.79357,-121.725447,,A0D84761435
Natomas East Main Drainage Canal at El Camino Road,NEMDEC,Sacramento,38.611164,-121.467411,,A0V83671280
Woodland Wastewater Discharge at Toe Drain,Woodland Wastewater,,38.6816,-121.64577,Water sample collection for nutrients - Yolo Bypass Fall Study,A1030000
ANTELOPE LK NR DM,Antelope Lake,Upper Feather River Watershed - Near the dam,40.1805,-120.6057,,AN001000
,KV Lift Station,"Storm Water Pump Station, Lathrop",37.793778,-121.3,,B0D74761180
,M6 Lift Station,"Storm Water Pump Station, Lathrop",37.7965,-121.3085,,B0D74781185
,M5 Lift Station,"Storm Water Pump Station, Lathrop",37.8034,-121.3017,,B0D74821181
,M2 Lift Station,"Storm Water Pump Station, Lathrop",37.8027,-121.3115,,B0D74821187
,River Station,Lathrop,37.8047,-121.3123,,B0D74831187
,M1 Lift Station,"Storm Water Pump Station, Lathrop",37.8141,-121.3123,,B0D74881187
Cosumnes River above Benson's Ferry,Cosumnes,North Delta,38.254581,-121.435719,,B1D81541262
Mokelumne River above Benson's Ferry,Benson's Ferry,North Delta,38.254939,-121.445419,,B2D81531267
,San Joaquin River at Lathrop,"South Delta, Lathrop",37.81,-121.323,,B7D74861194
Rock Slough @ Contra Costa WD Fish Screen,RSCC,tidal river channel; boat or land access,37.976192,-121.639803,,B9522200
Old River Downstream DMC Barrier,Old River Downstream DMC Barrier,,37.810972,-121.544417,,B9536500
Old River above DMC Barrier,ODM,tidal river channel; boat access,37.81025,-121.542194,,B9536600
Old River Upstream of Mountain House Creek,ORM,tidal river channel; boat access,37.7938408,-121.5173813,,B9537000
Tom Paine Slough above Intake,TPI,tidal river channel; land access,37.790088,-121.41845,,B9542100
Sherman Island 1,2020-SH1,,38.04025,-121.818833,,B980241491
Brown's Island 1,2020-BN1,,38.039283,-121.858567,,B980241515
Brown's Island 2,2020-BN2,,38.039683,-121.864917,,B980241519
Sherman Island 3,2020-SH3,,38.04145,-121.830917,,B980251499
Brown's Island 3,2020-BN3,,38.041367,-121.868183,,B980251521
Sherman Island 2,2020-SH2,,38.042983,-121.825167,,B980261495
Prospect Slough,PRS,,38.255839,-121.671797,,B9B81541403
Concrete Landing at Westside of Delta Mendota Canal Uphill of Pump,Jones Headworks,Delta Mendota Canal,37.782811,-121.5912,,B9C74701355
Eastside Delta Mendota Canal Intake at Jones Pumping Plant,DMC Intake at Jones,Delta Mendota Canal,37.7968,-121.58526,,B9C74781351
Canel Water Delivery in Water Quality Cage in Jones Pumping Plant,Jones Lockup,Delta Mendota Canal,37.797042,-121.586186,,B9C74781352
West Canal at Clifton Court Intake,C9,South Delta,37.830917,-121.554004,,B9C74981333
Contra Costa Canal at Rock Slough Fish Screen,Rock Slough at Fish Screens,Central Delta,37.977058,-121.642189,This site replaces Rock Slough @ Delta Road Bridge (B9D75861372),B9C75861385
Grant Line Canal near Old River,GLC,tidal river channel; boat access,37.820123,-121.544661,,B9D72921327
San Joaquin River near Vernalis at SJR Club,C10A,South Delta,37.679343,-121.264857,SJR,B9D74081159
San Joaquin River at Mossdale Bridge,C7A,South Delta,37.786,-121.3067,MSD,B9D74721184
,San Joaquin River at Sadler Oak Road,"South Delta, Lathrop",37.7934,-121.3063,,B9D74761184
Sugar Cut downstream of Tom Paine Slough,SGA,tidal river channel; boat access,37.79286,-121.421495,,B9D74761253
Paradise Cut Upstream,PDUP,tidal river channel; land access,37.801027,-121.373089,,B9D74811224
Old River at Tracy Wildlife Association,TWA,tidal river channel; land access,37.802833,-121.457444,,B9D74821274
,M3 Lift Station,"Storm Water Pump Station, Lathrop",37.805,-121.3012,,B9D74831181
Old River near Doughty Cut - ORX,ORX,tidal river channel; boat access,37.8109972,-121.386575,,B9D74871232
Doughty Cut near Grantline Canal,DGL,tidal river channel,37.814717,-121.425209,,B9D74911256
Old River near Head ,OH1,tidal river channel; boat access,37.807595,-121.331218,,B9D74921216
Grant Line Canal East,GLE,tidal river channel; boat access,37.82025,-121.434861,,B9D74921261
Grant Ln Can @ Tracy Rd Bdg,GCT,,37.820111,-121.449833,,B9D74921269
Grantline Canal above Dam,GLCaboveDam,,37.82016111,-121.447425,,B9D74921510
Clifton Court Forebay at Intake,C9A,South Delta,37.8308,-121.557,,B9D74981334
Middle River at Undine Road,MRU,tidal river channel; land access,37.8339408,-121.3857561,,B9D75011230
,San Joaquin River at Brandt Bridge,"South Delta, Stockton, Lathrop",37.8646,-121.323,,B9D75191193
Victoria Canal near Byron,VCU,tidal canal; boat access,37.870944,-121.53,,B9D75231318
Middle River at Howard Road,MHO,tidal river channel; land access,37.876184,-121.383288,,B9D75261230
Middle R @ Tracy Rd Bdg,MRIVTRACY,,37.8813,-121.4566,,B9D75291273
Middle River near Tracy Road,MRX,tidal river channel; land access,37.881425,-121.467399,,B9D75291280
