site,cagename.wq.bryte,cagecode.wq.bryte,datetime.wq.bryte,date.wq.bryte,fieldnotes.wq.sonde,dnh4.mgperL,chla.ugperL,din.mgperL,doc.mgperL,toc.mgperL,dop.mgperL,pha.ugperL,tp.mgperL,tkn.mgperL,conductivity.mscm.wq.sonde,ph.mv.wq.sonde,tempc.wq.sonde,turb.ntu.wq.sonde
Arnold Slough 1,Arnold 1,2020-AR1,2020-02-24T20:01:00Z,2020-02-24,,0.14,4.15,0.53,3.8,3.8,0,1.78,0.094,0.6,2444,7.7,12.699999,21.78
Arnold Slough 1,Arnold 1,2020-AR1,2020-03-05T16:10:00Z,2020-03-05,,0.13,4.09,0.47,3.4,3.4,0.054,2.92,0.09,0.5,1855,7.799999,13.65,27.489999
Arnold Slough 1,Arnold 1,2020-AR1,2020-03-11T19:40:00Z,2020-03-11,,,3.07,0.49,3.5,3.5,0,1.65,0.08,0.5,3077,7.62,15.27,18.85
Arnold Slough 2,Arnold 2,2020-AR2,2020-02-24T19:34:00Z,2020-02-24,,0.104,2.1,0.53,3.5,3.5,0,1.37,0.094,0.5,2378,7.799999,12.859999,24.19
Arnold Slough 2,Arnold 2,2020-AR2,2020-03-05T16:28:00Z,2020-03-05,,0.14,4.5,0.47,3.45,3.35,0.0535,2.36,0.09,0.5,1911,7.62,13.619999,25.09
Arnold Slough 2,Arnold 2,2020-AR2,2020-03-11T19:10:00Z,2020-03-11,,,4.76,0.46,3.6,3.6,0,2.31,0.07,0.5,3073,7.669999,15.297,24.809999
Arnold Slough 3,Arnold 3,2020-AR3,2020-02-24T19:24:00Z,2020-02-24,,,2.3,0.52,3.7,3.7,0,1.03,0.1,0.5,2388,8,13.01,28.69
Arnold Slough 3,Arnold 3,2020-AR3,2020-03-05T16:42:00Z,2020-03-05,,,5.52,0.48,3.3,3.1,0.055,1.97,0.08,0.5,1875,7.69,13.77,19.309999
Arnold Slough 3,Arnold 3,2020-AR3,2020-03-11T18:33:00Z,2020-03-11,,,3.14,0.46,3.6,3.6,0,1.61,0.09,0.6,3071,7.71,15.15,26.78
Brown's Island 1,Brown 1,2020-BR1,2020-02-27T17:19:00Z,2020-02-27,,0,1.8,0.235,3.7,9.4,0.056,0.66,0.08,0.4,2024,7.5,12.859999,7.48
Brown's Island 1,Brown 1,2020-BR1,2020-03-05T21:45:00Z,2020-03-05,,,3.54,0.26,3.7,3.9,0.056,0.87,0.07,0.4,1789,7.9,14.05,8.47
Brown's Island 1,Brown 1,2020-BR1,2020-03-12T20:47:00Z,2020-03-12,pH meter malfunctioned don't have accurate pH data,,4.56,0.124,4,3.9,0.056,0.84,0.07,0.4,2822,,15.31,6.32
Brown's Island 2,Brown 2,2020-BR2,2020-02-27T17:40:00Z,2020-02-27,,,1.94,0.34,3.2,3.2,0.051,1.55,0.1,0.5,1721,7.599999,13.25,16.539999
Brown's Island 2,Brown 2,2020-BR2,2020-03-05T21:23:00Z,2020-03-05,,,2.12,0.433,3.1,3.1,0.06,1.29,0.09,0.4,1768,8,13.77,13.92
Brown's Island 2,Brown 2,2020-BR2,2020-03-12T21:24:00Z,2020-03-12,pH meter malfunctioned don't have accurate pH data,,3.84,0.29,3.2,4.1,0.054,1.45,0.07,0.4,3032,,14.98,14.65
Brown's Island 3,Brown 3,2020-BR3,2020-02-27T17:53:00Z,2020-02-27,,,2.48,0.498,2.7,2.7,0.057,1.25,0.09,0.434,1389,7.9,13.17,17.91
Brown's Island 3,Brown 3,2020-BR3,2020-03-05T21:01:00Z,2020-03-05,,,3.46,0.51,2.6,2.4,0.064,2.1,0.09,0.4,5234,8,13.64,22.52
Brown's Island 3,Brown 3,2020-BR3,2020-03-12T22:03:00Z,2020-03-12,pH meter malfunctioned don't have accurate pH data,,5.43,0.47,2.3,2.2,0.062,2.47,0.09,0.4,4473,,15.56,23.3
Gallinas Creek 1,Gallinas 1,2020-GA1,2020-02-26T22:00:00Z,2020-02-26,,,19.24,0.17,2,2,0.098,1.77,0.161,0.6,32869,8.5,14.949999,19.34
Gallinas Creek 1,Gallinas 1,2020-GA1,2020-03-06T15:00:00Z,2020-03-06,took data from NERRS Gallinas station at 7 am,,6.26,0.36,1,1,0.092,1.6,0.14,0.4,3291,7.9,15.6,33
Gallinas Creek 1,Gallinas 1,2020-GA1,2020-03-11T21:26:00Z,2020-03-11,pH meter malfunctioned don't have accurate pH data,,19.52,0.36,2,2,0.115,2.16,0.188,0.7,34818,,16.109999,28.85
Gallinas Creek 2,Gallinas 2,2020-GA2,2020-03-05T15:10:00Z,2020-03-05,took data from Gallinas NERRS station at 7 am,,6.82,0.36,0.8,0.8,0.091,0.52,0.124,0.4,3291,7.9,15.6,33
Gallinas Creek 3,Gallinas 3,2020-GA3,2020-02-26T22:30:00Z,2020-02-26,,,14.87,0.28,1.9,2,0.088,1.36,0.151,0.6,33208,8.599999,16.21,14.21
Gallinas Creek 3,Gallinas 3,2020-GA3,2020-03-05T15:15:00Z,2020-03-05,took data from Gallinas NERRS station at 7am,,5.95,0.36,0.7,0.7,0.087,0.93,0.111,0.3,3291,7.9,12.6,33
Gallinas Creek 3,Gallinas 3,2020-GA3,2020-03-11T20:52:00Z,2020-03-11,pH meter malfunctioned don't have accurate pH data,,15.4,0.4,1.3,1.2,0.113,1.63,0.156,0.6,34851,,16.059999,21.27
Goodyear Slough 1,Goodyear 1,2020-GY1,2020-02-24T20:48:00Z,2020-02-24,,,2.37,0.49,4,4,0.052,4.4,0.17,0.8,7347,7.7,13.46,14.21
