Station Name,Sample Code,Collection Date,Analyte,Result,Rpt Limit,Units,Parent Sample
E3S80462003,EL0319B0062,3/14/2019 7:04,Chlorophyll a,1.68,0.5,µg/L,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Dissolved Nitrate + Nitrite,0.27,0.05,mg/L as N,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Dissolved Organic Carbon,2.7,0.5,mg/L as C,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Total Organic Carbon,2.7,0.5,mg/L as C,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Dissolved Ortho-phosphate,0.063,0.05,mg/L as P,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Pheophytin a,0.56,0.5,µg/L,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Total Phosphorus,0.08,0.01,mg/L as P,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Total Kjeldahl Nitrogen,0.3,0.1,mg/L as N,0
E3S80462003,EL0319B0062,3/14/2019 7:04,Field Specific Conductance,60.6,1,uS/cm@25degC,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Chlorophyll a,4.44,0.5,µg/L,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Dissolved Nitrate + Nitrite,0.43,0.05,mg/L as N,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Dissolved Organic Carbon,3.7,0.5,mg/L as C,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Total Organic Carbon,3.7,0.5,mg/L as C,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Dissolved Ortho-phosphate,0.081,0.05,mg/L as P,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Pheophytin a,2.5,0.5,µg/L,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Total Phosphorus,0.12,0.01,mg/L as P,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Total Kjeldahl Nitrogen,0.5,0.1,mg/L as N,0
E3S80192066,EL0319B0065,3/14/2019 7:22,Field Specific Conductance,406.3,1,uS/cm@25degC,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Chlorophyll a,5.29,0.5,µg/L,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Dissolved Nitrate + Nitrite,0.46,0.05,mg/L as N,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Dissolved Organic Carbon,3.8,0.5,mg/L as C,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Total Organic Carbon,3.8,0.5,mg/L as C,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Dissolved Ortho-phosphate,0.084,0.05,mg/L as P,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Pheophytin a,2.63,0.5,µg/L,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Total Phosphorus,0.122,0.01,mg/L as P,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Total Kjeldahl Nitrogen,0.5,0.1,mg/L as N,0
E3S80202066,EL0319B0066,3/14/2019 7:35,Field Specific Conductance,369.7,1,uS/cm@25degC,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Chlorophyll a,1.64,0.5,µg/L,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Dissolved Nitrate + Nitrite,0.248,0.05,mg/L as N,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Dissolved Organic Carbon,2.9,0.5,mg/L as C,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Total Organic Carbon,2.9,0.5,mg/L as C,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Dissolved Ortho-phosphate,0.084,0.05,mg/L as P,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Pheophytin a,0.68,0.5,µg/L,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Total Phosphorus,0.1,0.01,mg/L as P,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Total Kjeldahl Nitrogen,0.314,0.1,mg/L as N,0
E3S80482010,EL0319B0059,3/14/2019 8:01,Field Specific Conductance,180.7,1,uS/cm@25degC,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Chlorophyll a,1.72,0.5,µg/L,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Dissolved Nitrate + Nitrite,0.248,0.05,mg/L as N,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Dissolved Organic Carbon,2.9,0.5,mg/L as C,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Dissolved Organic Carbon,2.9,0.5,mg/L as C,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Total Organic Carbon,3,0.5,mg/L as C,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Total Organic Carbon,3,0.5,mg/L as C,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Dissolved Ortho-phosphate,0.082,0.05,mg/L as P,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Pheophytin a,0.65,0.5,µg/L,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Total Phosphorus,0.1,0.01,mg/L as P,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Total Kjeldahl Nitrogen,0.317,0.1,mg/L as N,0
E3S804102007,EL0319B0060,3/14/2019 8:31,Field Specific Conductance,254.4,1,uS/cm@25degC,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Chlorophyll a,0.91,0.5,µg/L,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Dissolved Nitrate + Nitrite,0.378,0.05,mg/L as N,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Dissolved Organic Carbon,3.5,0.5,mg/L as C,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Total Organic Carbon,3.5,0.5,mg/L as C,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Dissolved Ortho-phosphate,0.07,0.05,mg/L as P,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Pheophytin a,< R.L.,0.5,µg/L,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Total Phosphorus,0.07,0.01,mg/L as P,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Total Kjeldahl Nitrogen,0.375,0.1,mg/L as N,0
B9S80241522,EL0319B0058,3/14/2019 8:53,Field Specific Conductance,177.2,1,uS/cm@25degC,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Chlorophyll a,0.63,0.5,µg/L,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Dissolved Nitrate + Nitrite,0.63,0.05,mg/L as N,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Dissolved Organic Carbon,5.7,0.5,mg/L as C,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Total Organic Carbon,5.7,0.5,mg/L as C,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Dissolved Ortho-phosphate,0.155,0.05,mg/L as P,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Pheophytin a,1.02,0.5,µg/L,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Total Phosphorus,0.17,0.01,mg/L as P,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Total Kjeldahl Nitrogen,0.5,0.1,mg/L as N,0
E3S80192049,EL0319B0063,3/14/2019 9:03,Field Specific Conductance,1202,1,uS/cm@25degC,0
B9S80231523,EL0319B0056,3/14/2019 9:04,Chlorophyll a,0.9,0.5,µg/L,0
