"","Station Number","Sample Code","CollectionDate","Data Owner","Data Status","Collection Date","Analyte","CAS Reg Number","Lab Dup","Result","Rpt Limit","Units","Method","Depth","Matrix","Sample Type","Parent Sample","Description","Notes","Result Rejected"
"1","E381061548","EL0220B0120",2020-02-24 11:24:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:24","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.52","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"2","E381061548","EL0220B0120",2020-02-24 11:24:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:24","Total Phosphorus","7723-14-0",NA,"0.1","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"3","E381061548","EL0220B0120",2020-02-24 11:24:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:24","Total Kjeldahl Nitrogen","TKN",NA,"0.5","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"4","E381061548","EL0220B0120",2020-02-24 11:24:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:24","Dissolved ortho-Phosphate","14265-44-2",NA,"<0.05","0.05","mg/L as P","EPA 365.1 DWR Modified [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"5","E381061546","EL0220B0119",2020-02-24 11:34:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:34","Dissolved Ammonia","7664-41-7","Y","0.108","0.05","mg/L as N","EPA 350.1 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"6","E381061546","EL0220B0119",2020-02-24 11:34:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:34","Dissolved Ammonia","7664-41-7",NA,"0.1","0.05","mg/L as N","EPA 350.1 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"7","E381061546","EL0220B0119",2020-02-24 11:34:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:34","Dissolved Nitrate + Nitrite","NO3+NO2",NA,"0.53","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"8","E381061546","EL0220B0119",2020-02-24 11:34:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:34","Dissolved Nitrate + Nitrite","NO3+NO2","Y","0.53","0.05","mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"9","E381061546","EL0220B0119",2020-02-24 11:34:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:34","Total Phosphorus","7723-14-0",NA,"0.094","0.01","mg/L as P","EPA 365.4 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
"10","E381061546","EL0220B0119",2020-02-24 11:34:00,"0311","1000 - Non-Public, Review Status Unknown","02/24/2020 11:34","Total Kjeldahl Nitrogen","TKN",NA,"0.5","0.1","mg/L as N","EPA 351.2 (DWR Modified) [1]*","1 Feet","Water, Natural","Normal Sample","0",NA,NA,"N"
