Region,Month,Year,FunctionalGroup,BPUE,Grazing_m3
Confluence,1,2010,Herbivore,590.8146875000001,7.388643125e-4
Confluence,1,2010,Omnivor,243.6165,0.0013950916875
Confluence,1,2010,Predator,94.5095,0.009797175
Confluence,1,2011,Herbivore,1353.4841428571428,0.0016341937142857143
Confluence,1,2011,Omnivor,366.63235714285713,8.684042857142857e-4
Confluence,1,2011,Predator,107.38285714285713,0.011245294857142858
Confluence,1,2012,Herbivore,1700.0986875,0.001864448125
Confluence,1,2012,Omnivor,1311.896125,0.0033969539375
Confluence,1,2012,Predator,222.23175,0.0243677331875
Confluence,1,2013,Herbivore,1479.6459375000002,0.0013477081250000001
Confluence,1,2013,Omnivor,735.7825625,0.004254544
Confluence,1,2013,Predator,90.39575,0.0093157549375
Confluence,1,2014,Herbivore,1564.1035,0.0018853607142857143
Confluence,1,2014,Omnivor,1198.0317142857143,0.003604934142857143
Confluence,1,2014,Predator,177.47335714285714,0.019379390714285714
Confluence,1,2015,Herbivore,1830.0579285714286,0.0019915214285714288
Confluence,1,2015,Omnivor,542.1695,0.003988042142857143
Confluence,1,2015,Predator,292.15792857142856,0.026972301357142858
Confluence,1,2016,Herbivore,2184.9973,0.0032029005
Confluence,1,2016,Omnivor,602.3644,0.0048100032
Confluence,1,2016,Predator,552.5399,0.055794918400000004
Confluence,1,2017,Herbivore,2024.4975454545456,0.001695425909090909
Confluence,1,2017,Omnivor,792.5475454545455,2.653372727272727e-4
Confluence,1,2017,Predator,13.491272727272728,5.859545454545454e-5
Confluence,1,2018,Herbivore,1545.466277777778,0.0015787527777777778
Confluence,1,2018,Omnivor,745.7506666666667,0.0034808300555555552
Confluence,1,2018,Predator,215.07861111111112,0.02179960766666667
Confluence,1,2019,Herbivore,1928.106388888889,0.0022410497222222223
Confluence,1,2019,Omnivor,847.6345,0.004051524722222222
Confluence,1,2019,Predator,132.64755555555556,0.011815196777777778
Confluence,1,2020,Herbivore,670.7347222222222,8.644755555555556e-4
Confluence,1,2020,Omnivor,480.2831111111111,0.0033738746666666665
Confluence,1,2020,Predator,116.20966666666666,0.012654168833333333
Confluence,1,2022,Herbivore,1671.5890714285715,0.001970642857142857
Confluence,1,2022,Omnivor,591.552,9.855532142857143e-4
Confluence,1,2022,Predator,107.09485714285714,0.010176117928571428
Confluence,1,2023,Herbivore,1761.606142857143,0.0040645105714285715
Confluence,1,2023,Omnivor,778.1018571428572,4.156015e-4
Confluence,1,2023,Predator,21.816857142857142,5.964928571428572e-5
Confluence,2,2010,Herbivore,2596.8970000000004,0.0028900033333333335
Confluence,2,2010,Omnivor,519.78925,1.9331208333333333e-4
Confluence,2,2010,Predator,19.891000000000002,1.742625e-4
Confluence,2,2011,Herbivore,1230.63225,0.00269851375
Confluence,2,2011,Omnivor,386.3234375,0.0016331075
Confluence,2,2011,Predator,87.968,0.0069883177500000004
Confluence,2,2012,Herbivore,1904.958625,0.00278603625
Confluence,2,2012,Omnivor,938.417875,0.0011634928125
Confluence,2,2012,Predator,113.911125,0.010097760124999999
Confluence,2,2013,Herbivore,1568.5132857142858,0.00180397
Confluence,2,2013,Omnivor,1576.564357142857,0.0022098340714285713
Confluence,2,2013,Predator,81.73478571428572,0.008105143214285715
Confluence,2,2014,Herbivore,2209.253923076923,0.005551522307692308
Confluence,2,2014,Omnivor,856.5476153846154,0.0028278515384615385
Confluence,2,2014,Predator,147.7931538461538,0.01599646153846154
Confluence,2,2015,Herbivore,1498.3792857142857,0.0017656464285714286
Confluence,2,2015,Omnivor,785.3679285714286,8.621607857142857e-4
Confluence,2,2015,Predator,87.26314285714285,0.0064299115
Confluence,2,2016,Herbivore,2443.88325,0.0030153716666666665
Confluence,2,2016,Omnivor,572.2084166666667,8.673975833333334e-4
Confluence,2,2016,Predator,28.68,1.578595e-4
Confluence,2,2017,Herbivore,5696.42,0.005495458833333334
Confluence,2,2017,Omnivor,7357.089333333333,9.310058333333334e-4
Confluence,2,2017,Predator,118.2105,4.6371741666666666e-4
Confluence,2,2018,Herbivore,1146.6595,0.0018115044444444444
Confluence,2,2018,Omnivor,433.69399999999996,0.002118283388888889
Confluence,2,2018,Predator,95.30183333333333,0.008849675000000001
Confluence,2,2019,Herbivore,2630.417642857143,0.0041782235
Confluence,2,2019,Omnivor,997.6743571428572,3.313738571428571e-4
Confluence,2,2019,Predator,41.12528571428572,1.559345e-4
Confluence,2,2020,Herbivore,1003.8911666666667,0.0017991616666666666
Confluence,2,2020,Omnivor,411.1117777777778,0.0018125146666666668
Confluence,2,2020,Predator,59.222833333333334,0.004408833333333333
Confluence,2,2022,Herbivore,1421.4922142857145,0.0015071642857142859
Confluence,2,2022,Omnivor,451.31114285714284,0.002522208857142857
Confluence,2,2022,Predator,142.12042857142856,0.010755568928571428
Confluence,2,2023,Herbivore,1846.2847857142858,0.003465756857142857
Confluence,2,2023,Omnivor,735.9471428571428,4.8708935714285713e-4
Confluence,2,2023,Predator,53.88392857142857,0.0019271355000000003
Confluence,3,2010,Herbivore,692.861347334525,0.004024522532861997
Confluence,3,2010,Omnivor,198.4614285391696,3.867934998801909e-4
Confluence,3,2010,Predator,5.6526,7.174297142857143e-5
Confluence,3,2011,Herbivore,1403.5969050660208,0.006849338357271141
Confluence,3,2011,Omnivor,279.5975987035145,3.990752267169127e-4
Confluence,3,2011,Predator,4.757142857142857,3.004657142857143e-5
Confluence,3,2012,Herbivore,872.4395862499599,0.005009325030186806
Confluence,3,2012,Omnivor,311.5251049191673,0.0010866304714430336
Confluence,3,2012,Predator,36.32967654220245,0.00361371520461426
Confluence,3,2013,Herbivore,3034.442919339343,0.01228355564326027
Confluence,3,2013,Omnivor,940.4283903141707,0.004909449688293539
Confluence,3,2013,Predator,60.49969140325664,0.006038579675012776
Confluence,3,2014,Herbivore,1291.545142291814,0.005381844514575757
Confluence,3,2014,Omnivor,339.58582413013187,0.0015228417138755457
Confluence,3,2014,Predator,70.90166587039721,0.005361803450886474
Confluence,3,2015,Herbivore,2142.7379824332306,0.006449237628140145
Confluence,3,2015,Omnivor,908.518223176804,0.004223815138448225
Confluence,3,2015,Predator,190.45819804115848,0.014768986410902843
Confluence,3,2016,Herbivore,2412.671087618959,0.010605289437544733
Confluence,3,2016,Omnivor,715.9354936818851,0.002623213661113654
Confluence,3,2016,Predator,127.48243487318555,0.007501516164503127
Confluence,3,2017,Herbivore,1744.2556058006649,0.008269393773578517
Confluence,3,2017,Omnivor,910.8119706123891,4.582601659044329e-4
Confluence,3,2017,Predator,20.803317641071274,1.250007510469799e-4
Confluence,3,2018,Herbivore,1856.4185918678704,0.007835476086918144
Confluence,3,2018,Omnivor,542.651352017935,0.002029228944440141
Confluence,3,2018,Predator,51.5137671452597,0.005108584748321092
Confluence,3,2019,Herbivore,1520.9735388169654,0.00873517655381677
Confluence,3,2019,Omnivor,488.1342491491663,3.554613144799875e-4
Confluence,3,2019,Predator,9.86290909090909,5.419509090909091e-5
Confluence,3,2020,Herbivore,3286.2934537718597,0.01419021985604358
Confluence,3,2020,Omnivor,798.0833086420967,0.0035917662221454953
Confluence,3,2020,Predator,72.56966482548795,0.006642310955703558
Confluence,3,2021,Herbivore,3465.7968502435883,0.015161777571979966
Confluence,3,2021,Omnivor,468.78936329106443,0.001362599083170966
Confluence,3,2021,Predator,75.5312181900124,0.008192471239147866
Confluence,3,2022,Herbivore,4033.2489679718988,0.018871962730010232
Confluence,3,2022,Omnivor,322.5903688747206,0.0015861209506380087
Confluence,3,2022,Predator,147.40791185703893,0.008903298753240044
Confluence,3,2023,Herbivore,4983.861571428572,0.005625683214285714
Confluence,3,2023,Omnivor,3065.4944285714287,4.703469285714286e-4
Confluence,3,2023,Predator,142.7237142857143,2.1440042857142857e-4
Confluence,4,2010,Herbivore,4451.3408167512,0.03672820385139985
Confluence,4,2010,Omnivor,663.1596963991663,0.002854816853214335
Confluence,4,2010,Predator,14.882572597390215,0.0015168336692374992
Confluence,4,2011,Herbivore,2498.7641591596544,0.011493325112291322
Confluence,4,2011,Omnivor,1601.0726883050577,6.42758297169032e-4
Confluence,4,2011,Predator,17.418750366002875,1.666147987483165e-4
Confluence,4,2012,Herbivore,1217.6330387464907,0.008167033451010183
Confluence,4,2012,Omnivor,382.5392391246803,0.0014531274600166517
Confluence,4,2012,Predator,2.637511348535469,4.640522883491093e-5
Confluence,4,2013,Herbivore,5071.9815373676465,0.02701838398935508
Confluence,4,2013,Omnivor,2092.316499121466,0.01257091788531154
Confluence,4,2013,Predator,107.25697459806855,0.010187229657546001
Confluence,4,2014,Herbivore,2186.000188623103,0.010679450465413418
Confluence,4,2014,Omnivor,1548.8799460902273,0.010328977117204948
Confluence,4,2014,Predator,123.04890255747074,0.009750172848777236
Confluence,4,2015,Herbivore,6864.373036674269,0.027936132048929134
Confluence,4,2015,Omnivor,4187.095211410908,0.014795940225717235
Confluence,4,2015,Predator,376.00849493960243,0.014648966134609996
Confluence,4,2016,Herbivore,4408.50134174899,0.024911772185863428
Confluence,4,2016,Omnivor,3750.1901886233804,0.021196870202238
Confluence,4,2016,Predator,287.79353718327724,0.020451054818362287
Confluence,4,2017,Herbivore,1678.0536898935263,0.007829448822075218
Confluence,4,2017,Omnivor,1209.221360154536,0.001353896045869443
Confluence,4,2017,Predator,59.249447782840406,4.44456402574646e-4
Confluence,4,2018,Herbivore,2137.858552384321,0.007380514902706065
Confluence,4,2018,Omnivor,477.8430659239623,0.0010912122267497397
Confluence,4,2018,Predator,14.75036111563443,1.0974749663396547e-4
Confluence,4,2019,Herbivore,2470.427932104739,0.0179806223732692
Confluence,4,2019,Omnivor,800.8722589107274,8.49309462290038e-4
Confluence,4,2019,Predator,19.76450142756744,9.158105428522432e-5
Confluence,4,2020,Herbivore,3562.8739320911436,0.020780526759718372
Confluence,4,2020,Omnivor,1125.0500966718776,0.006832708747970676
Confluence,4,2020,Predator,16.199732590657757,0.0017534480703215588
Confluence,4,2021,Herbivore,8229.89511068081,0.04554374218646068
Confluence,4,2021,Omnivor,353.64182441581204,0.0020624783706462272
Confluence,4,2021,Predator,113.13016417096821,0.00994353919331754
Confluence,4,2022,Herbivore,7590.7938208610985,0.04400171668630179
Confluence,4,2022,Omnivor,485.65666886398435,0.003345258322362323
Confluence,4,2022,Predator,138.072230270939,0.006904433770394676
Confluence,4,2023,Herbivore,1827.544142857143,0.0036099788571428574
Confluence,4,2023,Omnivor,1610.2366428571427,2.0682114285714285e-4
Confluence,4,2023,Predator,104.997,8.175209285714286e-4
Confluence,5,2010,Herbivore,8151.27830926814,0.05344073588375451
Confluence,5,2010,Omnivor,1948.948096358308,0.012286139371103816
Confluence,5,2010,Predator,37.66971346073313,3.3383059413960277e-4
Confluence,5,2011,Herbivore,1911.6930820391485,0.010758262784361523
Confluence,5,2011,Omnivor,931.4702228504556,0.0034940849583992256
Confluence,5,2011,Predator,5.0448571428571425,3.7457e-5
Confluence,5,2012,Herbivore,4969.727887899589,0.03617745493385628
Confluence,5,2012,Omnivor,4345.923846839896,0.0323751732596038
Confluence,5,2012,Predator,8.897996142850829,6.764190867537048e-4
Confluence,5,2013,Herbivore,10093.444623422309,0.05282466094677246
Confluence,5,2013,Omnivor,6749.370296181714,0.046319364628145
Confluence,5,2013,Predator,227.93573277472981,0.02450519409751346
Confluence,5,2014,Herbivore,4882.939769411149,0.01897962448701716
Confluence,5,2014,Omnivor,10892.144819137227,0.08036210859255384
Confluence,5,2014,Predator,311.15483709342874,0.021706851482010216
Confluence,5,2015,Herbivore,4734.628208427823,0.016733464491325636
Confluence,5,2015,Omnivor,9774.741950762746,0.07799782654723988
Confluence,5,2015,Predator,354.1242287142526,0.018033740354519857
Confluence,5,2016,Herbivore,16349.261542913364,0.08085985548430295
Confluence,5,2016,Omnivor,7964.570026826344,0.040117475169568165
Confluence,5,2016,Predator,673.5444451708548,0.03195356236500423
Confluence,5,2017,Herbivore,5350.860773800216,0.015179538716713563
Confluence,5,2017,Omnivor,3451.4853021860436,0.019667993917054302
Confluence,5,2017,Predator,569.3101690262022,0.004845248934953273
Confluence,5,2018,Herbivore,4761.342284597517,0.026254780884462873
Confluence,5,2018,Omnivor,9954.832587166336,0.06730705516417984
Confluence,5,2018,Predator,49.87608645022302,0.004999127366663495
Confluence,5,2019,Herbivore,5561.0792594065915,0.028877724501283532
Confluence,5,2019,Omnivor,2587.5964572232765,0.017043797913734716
Confluence,5,2019,Predator,14.000039360819041,1.8323691007362318e-4
Confluence,5,2020,Herbivore,2292.7670401770797,0.013168991183679618
Confluence,5,2020,Omnivor,6946.232172483651,0.048656633326854444
Confluence,5,2020,Predator,254.40378044499673,0.022124512737830688
Confluence,5,2021,Herbivore,4429.06803888785,0.019072647558097115
Confluence,5,2021,Omnivor,2645.4144504800797,0.015825723290917127
Confluence,5,2021,Predator,353.6556602736605,0.01615627513630638
Confluence,5,2022,Herbivore,4649.202836732348,0.022209599917054457
Confluence,5,2022,Omnivor,2332.7262884611127,0.015951679325217665
Confluence,5,2022,Predator,438.260766395868,0.010696931103162019
