Region,Season,YearAdj,FunctionalGroup,BPUE,Grazing_m3
Confluence,Fall,2010,Herbivore,5808.349659574468,0.005945920425531915
Confluence,Fall,2010,Omnivor,2597.0181276595745,0.021753481170212766
Confluence,Fall,2010,Predator,1243.5758936170212,0.105369294
Confluence,Fall,2011,Herbivore,1419.8209863013699,0.0028866669452054794
Confluence,Fall,2011,Omnivor,3234.1417808219176,0.02284985880821918
Confluence,Fall,2011,Predator,902.4201917808219,0.09842263057534247
Confluence,Fall,2012,Herbivore,5047.006051282052,0.00628142235897436
Confluence,Fall,2012,Omnivor,4880.542564102564,0.03251970417948718
Confluence,Fall,2012,Predator,791.673782051282,0.07037332307692308
Confluence,Fall,2013,Herbivore,3997.0342435897437,0.004858483397435898
Confluence,Fall,2013,Omnivor,4311.535217948718,0.03240892026923077
Confluence,Fall,2013,Predator,1177.3846923076921,0.12103056833333334
Confluence,Fall,2014,Herbivore,4549.306125,0.010758677045454546
Confluence,Fall,2014,Omnivor,6760.88975,0.05107220873863636
Confluence,Fall,2014,Predator,1703.2024545454544,0.164019751375
Confluence,Fall,2015,Herbivore,6552.536844444445,0.012486381055555556
Confluence,Fall,2015,Omnivor,6587.5706222222225,0.052756682655555553
Confluence,Fall,2015,Predator,1847.1990555555556,0.18602299
Confluence,Fall,2016,Herbivore,5321.716457831325,0.007081363132530121
Confluence,Fall,2016,Omnivor,4216.729819277109,0.03056357234939759
Confluence,Fall,2016,Predator,1287.6425903614459,0.12023723691566265
Confluence,Fall,2017,Herbivore,2090.185458980155,0.004489235894079595
Confluence,Fall,2017,Omnivor,5920.533210734918,0.04014524294769999
Confluence,Fall,2017,Predator,679.4210383043084,0.07317061090527845
Confluence,Fall,2018,Herbivore,2741.1469791321156,0.0033715132087048703
Confluence,Fall,2018,Omnivor,3037.927082300809,0.022813281659241944
Confluence,Fall,2018,Predator,1673.0422257428695,0.16975478522894477
Confluence,Fall,2019,Herbivore,821.9799331264447,0.0032669841813415734
Confluence,Fall,2019,Omnivor,3323.3521289193573,0.023238704378555415
Confluence,Fall,2019,Predator,654.1119341771581,0.07190332987284005
Confluence,Fall,2020,Herbivore,2896.0926128388815,0.004502098899020163
Confluence,Fall,2020,Omnivor,2864.390327964219,0.021653846857491353
Confluence,Fall,2020,Predator,2219.638096127211,0.21868802039910554
Confluence,Fall,2021,Herbivore,1906.1328510766052,0.0027786866065915177
Confluence,Fall,2021,Omnivor,2406.630309242021,0.01865977435313891
Confluence,Fall,2021,Predator,1480.688691494608,0.1307425783237049
Confluence,Fall,2022,Herbivore,1791.3934993154978,0.0042819299497949955
Confluence,Fall,2022,Omnivor,2204.952479487396,0.01727851342381046
Confluence,Fall,2022,Predator,2132.519151267179,0.1912178011198225
Confluence,Fall,2023,Herbivore,1904.3378181818182,0.009065295568181819
Confluence,Fall,2023,Omnivor,4499.246227272727,0.03181906294318182
Confluence,Fall,2023,Predator,1095.5366261363636,0.11516426414772726
Confluence,Fall,2024,Herbivore,45.16067857142857,5.442478571428572e-4
Confluence,Fall,2024,Omnivor,4570.157357142857,0.03590067285714286
Confluence,Fall,2024,Predator,2165.7116785714284,0.22981946132142858
Confluence,Spring,2010,Herbivore,4637.673576564699,0.033269590563978525
Confluence,Spring,2010,Omnivor,957.9930825177918,0.005274619418719516
Confluence,Spring,2010,Predator,19.83578256107572,7.335187975388732e-4
