LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Sacramento River @ Hood - C3A,C3A - Hood,B9D82211312,C0122B0002,01/04/2022 17:30,Dissolved Organic Carbon,7440-44-0,4,0.5,mg/L as C,EPA 415.3 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
Sacramento River @ Hood - C3A,C3A - Hood,B9D82211312,C0122B0002,01/04/2022 17:30,Total Organic Carbon,7440-44-0,4.4,0.5,mg/L as C,EPA 415.3 (T) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Total Alkalinity,471-34-1,59.9,20,mg/L as CaCO3,Std Method 2320 B [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Aluminum,7429-90-5,103,10,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Aluminum,7429-90-5,99.3,10,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Ammonia,7664-41-7,0.252,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Ammonia,7664-41-7,0.254,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Antimony,7440-36-0,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Antimony,7440-36-0,<1,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
C10A - San Joaquin River near Vernalis @ SJR Club,C10A,B9D74081159,C0123B0003,01/04/2023 10:25,Dissolved Arsenic,7440-38-2,1.72,1,ug/L,EPA 200.8 (D) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,
