station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33.00000000,-121.00000000,Yolo,1,2008-06-23T15:00:00,2008-06-23T15:00:00
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.88680000,-121.86820000,Contra Costa,1,1981-05-20T13:45:00,1981-05-20T13:45:00
6135,01N01W03N001M,01N01W03N001M,01N01W03N001M,Groundwater,37.95830000,-121.96690000,Contra Costa,9,1974-07-23T15:15:00,1990-08-16T12:15:00
6136,01N01W04A001M,01N01W04A001M,01N01W04A001M,Groundwater,37.96630000,-121.97340000,Contra Costa,9,1972-08-04T15:00:00,1989-09-15T08:00:00
6137,01N01W07K001M,01N01W07K001M,01N01W07K001M,Groundwater,37.94600000,-122.01550000,Contra Costa,9,1973-08-03T09:30:00,1989-09-15T09:15:00
6138,01N01W12K001H,01N01W12K001H,01N01W12K001H,Groundwater,40.47620000,-124.12590000,Humboldt,1,1973-07-05T00:00:00,1973-07-05T00:00:00
6139,01N01W12L001H,01N01W12L001H,01N01W12L001H,Groundwater,40.47620000,-124.13070000,Humboldt,1,1973-07-05T00:00:00,1973-07-05T00:00:00
6140,01N01W29G001M,01N01W29G001M,01N01W29G001M,Groundwater,37.90490000,-121.99630000,Contra Costa,10,1972-08-04T12:15:00,1990-08-16T13:30:00
6141,01N02E01F001M,01N02E01F001M,01N02E01F001M,Groundwater,37.96270000,-121.70810000,Contra Costa,1,1979-05-01T00:00:00,1979-05-01T00:00:00
6143,01N02E03K001M,01N02E03K001M,01N02E03K001M,Groundwater,37.95910000,-121.74010000,Contra Costa,1,1979-05-01T00:00:00,1979-05-01T00:00:00
6144,01N02E13H001M,01N02E13H001M,01N02E13H001M,Groundwater,37.93380000,-121.69890000,Contra Costa,7,1974-07-19T10:30:00,1988-07-15T10:30:00
6145,01N02E23N001M,01N02E23N001M,01N02E23N001M,Groundwater,37.91210000,-121.73100000,Contra Costa,2,1979-05-01T00:00:00,1982-06-14T15:50:00
6146,01N02E24M001M,01N02E24M001M,01N02E24M001M,Groundwater,37.91570000,-121.71270000,Contra Costa,1,1982-06-15T09:30:00,1982-06-15T09:30:00
6147,01N02E24R002M,01N02E24R002M,01N02E24R002M,Groundwater,37.91210000,-121.69890000,Contra Costa,1,1982-06-15T10:15:00,1982-06-15T10:15:00
6148,01N02E25F001M,01N02E25F001M,01N02E25F001M,Groundwater,37.90490000,-121.70810000,Contra Costa,1,1979-05-01T00:00:00,1979-05-01T00:00:00
6149,01N02E25G001M,01N02E25G001M,01N02E25G001M,Groundwater,37.90490000,-121.70350000,Contra Costa,3,1980-11-19T11:50:00,1982-06-02T12:00:00
6150,01N02E26H001M,01N02E26H001M,01N02E26H001M,Groundwater,37.90490000,-121.71720000,Contra Costa,2,1980-11-19T11:15:00,1981-05-07T15:30:00
6151,01N02E35F001M,01N02E35F001M,01N02E35F001M,Groundwater,37.89040000,-121.72640000,Contra Costa,2,1980-11-19T09:45:00,1981-05-07T13:45:00
6152,01N02W05A002S,01N02W05A002S,01N02W05A002S,Groundwater,34.20560000,-117.10510000,San Bernardino,4,1953-05-20T00:00:00,1956-08-27T00:00:00
6153,01N02W05D001S,01N02W05D001S,01N02W05D001S,Groundwater,34.20560000,-117.11830000,San Bernardino,1,1954-08-31T00:00:00,1954-08-31T00:00:00
6154,01N02W05D002S,01N02W05D002S,01N02W05D002S,Groundwater,34.20560000,-117.11830000,San Bernardino,1,1954-08-26T00:00:00,1954-08-26T00:00:00
6155,01N02W11N001M,01N02W11N001M,01N02W11N001M,Groundwater,37.93990000,-122.05770000,Contra Costa,5,1971-08-04T15:45:00,1979-08-09T10:30:00
6156,01N02W11N002M,01N02W11N002M,01N02W11N002M,Groundwater,37.94100000,-122.06040000,Contra Costa,1,1981-07-22T09:15:00,1981-07-22T09:15:00
6157,01N02W13P001M,01N02W13P001M,01N02W13P001M,Groundwater,37.92800000,-122.03580000,Contra Costa,6,1972-08-04T12:50:00,1982-12-02T10:50:00
6158,01N02W15Q001S,01N02W15Q001S,01N02W15Q001S,Groundwater,34.16580000,-117.07460000,San Bernardino,1,1954-09-07T00:00:00,1954-09-07T00:00:00
6159,01N02W16K001S,01N02W16K001S,01N02W16K001S,Groundwater,34.16940000,-117.09210000,San Bernardino,1,1954-09-07T00:00:00,1954-09-07T00:00:00
6160,01N02W17A001S,01N02W17A001S,01N02W17A001S,Groundwater,34.17660000,-117.10510000,San Bernardino,1,1954-07-03T00:00:00,1954-07-03T00:00:00
6161,01N02W17G001S,01N02W17G001S,01N02W17G001S,Groundwater,34.17300000,-117.10950000,San Bernardino,1,1954-09-03T00:00:00,1954-09-03T00:00:00
6162,01N02W18G001S,01N02W18G001S,01N02W18G001S,Groundwater,34.17300000,-117.12700000,San Bernardino,1,1954-09-03T00:00:00,1954-09-03T00:00:00
6163,01N02W30B001S,01N02W30B001S,01N02W30B001S,Groundwater,34.14760000,-117.12700000,San Bernardino,1,1971-09-15T00:00:00,1971-09-15T00:00:00
6164,01N02W34P001S,01N02W34P001S,01N02W34P001S,Groundwater,34.12240000,-117.07900000,San Bernardino,2,1931-04-12T00:00:00,1949-02-08T00:00:00
6165,01N03E06N001M,01N03E06N001M,01N03E06N001M,Groundwater,37.95550000,-121.69440000,Contra Costa,1,1987-10-19T00:00:00,1987-10-19T00:00:00
6166,01N03E06N002M,01N03E06N002M,01N03E06N002M,Groundwater,37.95550000,-121.69440000,Contra Costa,1,1988-05-05T00:00:00,1988-05-05T00:00:00
