date,Conf-Wmean,Conf-Wmax,Conf-Dmean,Ndays_AvLt1.0,Ndays_AvLt3.0,Ndays_AvLt4.5,Ndays_AvLt6.0,Lstr_AvLt1.0,Lstr_AvLt3.0,Lstr_AvLt4.5,Lstr_AvLt6.0
2004-01-01,2.86,5.33,180.4,0,21,26,29,0,17,23,29
2004-02-01,4.89,8.55,221.9,0,8,14,20,0,5,5,6
2004-03-01,7.33,11.28,263.8,0,3,9,14,0,2,3,4
2004-04-01,9.85,13.78,276.1,0,0,2,3,0,0,2,2
2004-05-01,10.85,14.23,261.5,0,0,0,0,0,0,0,0
2004-06-01,13.33,16.48,265.0,0,0,0,0,0,0,0,0
2004-07-01,12.41,15.32,269.1,0,0,0,0,0,0,0,0
2004-08-01,10.54,13.61,266.7,0,0,1,1,0,0,1,1
2004-09-01,8.68,12.26,270.8,0,4,4,9,0,3,3,4
2004-10-01,7.07,11.01,249.2,0,5,10,15,0,2,4,6
2004-11-01,4.4,8.14,215.5,1,13,16,24,1,5,5,7
2004-12-01,4.4,7.93,156.1,0,16,23,24,0,14,17,17
2005-01-01,2.78,5.63,163.6,1,22,27,30,1,13,20,24
2005-02-01,4.49,7.67,219.4,0,9,17,21,0,2,25,29
2005-03-01,6.09,10.17,250.8,0,8,14,17,0,4,7,7
2005-04-01,8.18,11.79,266.5,0,3,4,7,0,2,2,3
2005-05-01,9.65,12.89,259.7,0,0,1,2,0,0,1,2
2005-06-01,10.8,13.75,264.6,0,0,0,0,0,0,0,0
2005-07-01,11.8,14.43,267.2,0,0,0,0,0,0,0,0
2005-08-01,10.9,13.64,273.6,0,0,0,1,0,0,0,1
2005-09-01,8.74,11.92,264.9,0,2,4,6,0,2,2,3
2005-10-01,7.06,10.68,266.7,0,1,9,15,0,1,2,4
2005-11-01,5.53,8.84,244.5,0,10,14,18,0,8,9,10
2005-12-01,4.2,7.07,187.2,0,13,21,24,0,6,12,14
2006-01-01,3.96,7.45,212.1,0,15,21,25,0,3,9,13
2006-02-01,2.75,5.04,195.0,0,19,25,27,0,10,22,39
2006-03-01,5.78,9.81,211.2,0,4,12,20,0,2,5,5
2006-04-01,6.73,10.77,241.5,0,1,6,15,0,1,3,12
2006-05-01,9.92,13.15,267.7,0,0,1,3,0,0,1,3
2006-06-01,11.51,14.57,268.9,0,0,0,1,0,0,0,1
2006-07-01,10.05,12.89,268.8,0,0,1,5,0,0,1,2
2006-08-01,10.83,13.71,272.1,0,0,0,2,0,0,0,1
2006-09-01,9.71,13.2,279.5,0,1,1,6,0,1,1,2
2006-10-01,6.56,10.11,257.9,0,5,8,16,0,2,5,6
2006-11-01,4.62,7.97,235.1,0,11,15,23,0,3,8,13
2006-12-01,4.41,7.77,197.0,0,13,21,25,0,5,9,9
2007-01-01,4.97,8.66,236.2,0,11,20,23,0,3,6,7
2007-02-01,5.92,9.18,222.5,0,5,7,15,0,4,5,9
2007-03-01,7.49,11.13,265.2,0,5,10,11,0,2,4,4
2007-04-01,10.08,14.13,271.9,0,0,2,3,0,0,1,2
2007-05-01,12.54,16.1,271.1,0,0,0,3,0,0,0,2
2007-06-01,12.09,15.27,269.7,0,0,0,0,0,0,0,0
2007-07-01,12.58,15.54,266.3,0,0,0,0,0,0,0,0
2007-08-01,11.37,14.66,264.4,0,0,0,0,0,0,0,0
2007-09-01,8.97,12.49,265.5,0,1,5,9,0,1,2,6
2007-10-01,6.34,10.14,263.6,0,4,10,17,0,3,4,5
2007-11-01,5.3,9.2,261.2,0,10,13,20,0,3,4,7
2007-12-01,5.39,9.41,224.9,0,9,14,18,0,5,5,6
2008-01-01,5.55,9.49,173.5,0,10,12,17,0,6,7,7
2008-02-01,6.05,10.3,245.3,0,8,13,17,0,4,5,8
2008-03-01,8.21,12.83,276.1,0,1,6,10,0,1,2,2
2008-04-01,9.53,13.43,263.5,0,1,3,5,0,1,3,3
2008-05-01,11.48,14.91,268.3,0,0,0,0,0,0,0,0
2008-06-01,10.94,14.57,271.0,0,0,1,3,0,0,1,2
2008-07-01,11.86,14.59,260.7,0,0,0,0,0,0,0,0
2008-08-01,10.33,13.27,261.9,0,0,0,0,0,0,0,0
2008-09-01,9.1,12.38,266.8,0,0,6,8,0,0,3,4
2008-10-01,6.23,9.57,246.1,0,9,12,16,0,4,5,5
2008-11-01,4.29,7.24,224.9,0,13,16,25,0,5,5,10
2008-12-01,4.73,8.17,183.8,0,13,17,21,0,5,14,22
2009-01-01,3.31,5.88,175.6,0,18,26,26,0,11,20,20
2009-02-01,5.48,9.02,178.3,0,6,12,19,0,6,8,11
2009-03-01,8.02,11.96,257.9,0,1,4,11,0,1,2,2
2009-04-01,8.97,12.69,251.4,0,3,5,8,0,3,3,3
2009-05-01,10.74,14.03,255.9,0,0,3,6,0,0,3,4
2009-06-01,11.8,15.37,255.6,0,0,0,1,0,0,0,1
2009-07-01,13.03,15.78,264.9,0,0,0,0,0,0,0,0
2009-08-01,11.29,14.36,265.3,0,0,1,2,0,0,1,2
2009-09-01,9.15,12.58,261.1,0,0,2,3,0,0,1,2
2009-10-01,7.37,11.24,257.2,0,3,6,18,0,2,3,6
2009-11-01,4.61,7.65,237.2,0,14,18,22,0,5,5,8
2009-12-01,3.68,6.47,189.3,0,13,22,28,0,5,8,10
2010-01-01,4.73,8.14,158.9,0,14,22,25,0,5,20,21
2010-02-01,4.93,8.64,216.8,0,10,13,17,0,7,8,8
2010-03-01,5.97,10.06,245.1,0,5,13,17,0,2,3,8
2010-04-01,7.5,11.1,248.3,0,0,4,8,0,0,2,3
2010-05-01,10.03,13.83,263.1,0,0,1,5,0,0,1,4
2010-06-01,11.19,14.48,264.8,0,0,0,0,0,0,0,0
2010-07-01,13.79,16.25,264.1,0,0,0,0,0,0,0,0
2010-08-01,11.07,13.84,259.6,0,1,1,3,0,1,1,3
2010-09-01,8.13,11.29,257.6,0,4,6,12,0,2,2,7
2010-10-01,6.44,9.59,253.1,0,4,8,13,0,2,2,5
2010-11-01,4.96,8.11,220.9,0,8,14,20,0,5,7,10
2010-12-01,3.98,6.96,175.7,0,14,22,25,0,7,10,23
2011-01-01,3.18,5.64,134.6,0,18,26,28,0,5,10,27
2011-02-01,6.56,11.56,228.1,0,5,10,13,0,2,4,4
2011-03-01,6.58,10.65,219.6,0,1,10,13,0,1,4,4
2011-04-01,9.15,12.64,262.6,0,1,3,4,0,1,2,2
2011-05-01,9.25,12.84,253.2,0,0,2,3,0,0,1,1
2011-06-01,9.62,12.48,255.1,0,0,0,2,0,0,0,1
2011-07-01,11.13,13.56,261.3,0,0,0,0,0,0,0,0
2011-08-01,10.76,13.22,264.6,0,0,1,1,0,0,1,1
2011-09-01,8.77,12.41,263.2,0,1,3,7,0,1,2,4
2011-10-01,5.59,9.03,258.9,0,6,14,19,0,2,5,5
2011-11-01,4.86,8.34,213.7,0,11,18,20,0,4,10,11
2011-12-01,4.6,8.04,217.0,0,13,25,27,0,5,10,18
2012-01-01,4.35,8.25,216.4,0,14,19,22,0,6,14,14
2012-02-01,5.93,9.3,237.8,0,6,12,16,0,2,8,14
2012-03-01,6.39,10.4,228.9,0,6,10,17,0,2,2,3
2012-04-01,7.54,11.32,257.3,0,2,4,11,0,1,1,5
2012-05-01,10.61,14.2,262.5,0,0,0,1,0,0,0,1
2012-06-01,11.37,14.56,263.8,0,0,0,0,0,0,0,0
2012-07-01,11.26,14.64,262.9,0,0,0,0,0,0,0,0
2012-08-01,10.57,13.4,265.7,0,0,0,0,0,0,0,0
2012-09-01,9.18,12.26,263.7,0,0,0,4,0,0,0,2
2012-10-01,6.44,9.76,251.8,0,4,11,15,0,2,4,5
2012-11-01,3.31,5.89,197.8,0,17,22,27,0,5,7,20
2012-12-01,4.62,7.85,206.1,0,9,17,21,0,5,9,9
2013-01-01,3.89,6.74,200.3,0,18,21,23,0,11,11,11
2013-02-01,5.57,9.29,255.2,0,7,12,16,0,4,7,8
2013-03-01,6.44,10.02,260.9,0,5,10,15,0,4,4,5
2013-04-01,10.18,14.9,275.1,0,0,2,4,0,0,1,2
2013-05-01,11.09,14.52,261.8,0,0,0,1,0,0,0,1
2013-06-01,11.42,14.9,258.2,0,0,1,1,0,0,1,1
2013-07-01,11.87,14.72,262.3,0,0,0,0,0,0,0,0
2013-08-01,11.32,14.21,256.2,0,0,0,0,0,0,0,0
2013-09-01,9.36,12.65,261.0,0,1,2,7,0,1,1,3
2013-10-01,6.22,9.74,270.9,0,6,14,16,0,1,5,7
2013-11-01,4.86,8.24,241.3,0,11,21,24,0,8,8,9
2013-12-01,3.58,7.04,209.6,0,20,24,26,0,9,11,11
2014-01-01,3.33,5.83,203.7,0,20,23,25,0,13,18,19
2014-02-01,5.58,8.78,230.2,0,1,7,19,0,1,2,6
2014-03-01,6.32,9.84,249.6,0,3,12,17,0,1,4,4
2014-04-01,7.8,11.04,253.9,0,3,6,8,0,2,2,3
2014-05-01,10.1,13.5,259.5,0,0,2,4,0,0,3,3
2014-06-01,10.71,14.09,258.5,0,0,0,0,0,0,0,0
2014-07-01,11.39,14.24,261.0,0,0,0,1,0,0,0,1
2014-08-01,10.76,13.77,259.8,0,0,0,1,0,0,0,1
2014-09-01,9.59,12.97,257.5,0,0,1,5,0,0,1,2
2014-10-01,5.46,8.69,253.4,0,9,13,20,0,4,5,5
2014-11-01,3.5,6.07,204.8,0,14,23,25,0,5,8,9
2014-12-01,5.22,8.99,188.5,0,11,17,23,0,4,8,9
2015-01-01,2.51,4.37,165.6,0,24,30,30,0,11,30,30
2015-02-01,5.07,8.85,227.8,0,15,15,20,0,6,6,7
2015-03-01,5.74,9.13,267.6,0,4,11,18,0,2,5,10
2015-04-01,8.86,12.54,267.4,0,1,2,5,0,1,1,2
2015-05-01,10.41,13.54,248.0,0,1,1,4,0,1,1,2
2015-06-01,10.95,14.41,257.8,0,0,0,0,0,0,0,0
2015-07-01,11.65,14.59,257.0,0,0,0,0,0,0,0,0
2015-08-01,10.86,13.67,256.5,0,0,1,3,0,0,1,2
2015-09-01,7.05,10.47,264.7,0,3,7,11,0,2,4,5
2015-10-01,5.89,9.4,262.4,0,2,13,15,0,1,3,4
2015-11-01,4.85,8.26,239.7,0,13,17,21,0,5,6,10
2015-12-01,4.9,8.58,198.9,0,11,18,21,0,5,11,14
2016-01-01,4.51,7.7,183.6,0,9,19,22,0,3,5,6
2016-02-01,4.3,7.5,231.9,0,11,19,24,0,7,8,9
2016-03-01,7.12,10.5,245.8,0,2,6,9,0,1,2,6
2016-04-01,9.01,12.43,273.5,0,1,4,5,0,1,2,3
2016-05-01,10.6,13.42,278.2,0,0,0,2,0,0,0,1
2016-06-01,11.21,14.24,282.1,0,0,0,3,0,0,0,1
2016-07-01,10.48,13.91,278.4,0,0,0,0,0,0,0,0
2016-08-01,11.75,15.14,278.4,0,0,0,0,0,0,0,0
2016-09-01,8.6,12.17,261.1,0,3,5,8,0,2,2,3
2016-10-01,5.55,9.27,236.4,0,7,10,21,0,2,4,9
2016-11-01,3.77,6.62,211.5,0,15,24,27,0,6,12,23
2016-12-01,4.93,8.36,206.7,0,13,16,22,0,5,5,7
2017-01-01,5.77,10.29,185.8,0,9,14,20,0,4,6,9
2017-02-01,6.24,10.92,210.6,0,4,9,13,0,5,6,10
2017-03-01,6.16,9.77,260.7,0,4,12,18,0,2,3,6
2017-04-01,7.3,11.28,265.0,0,2,5,13,0,2,3,6
2017-05-01,9.61,13.43,274.8,0,0,0,3,0,0,0,1
2017-06-01,10.59,13.88,273.5,0,0,0,2,0,0,0,1
2017-07-01,10.26,13.31,279.3,0,0,0,0,0,0,0,0
2017-08-01,11.16,14.89,277.3,0,0,0,1,0,0,0,1
2017-09-01,8.33,11.91,265.2,0,1,6,10,0,1,3,5
2017-10-01,6.12,9.87,262.1,0,9,14,16,0,5,6,7
2017-11-01,3.87,7.06,231.0,0,10,21,27,0,2,7,11
2017-12-01,4.0,7.54,195.2,0,24,24,24,0,10,10,10
2018-01-01,3.39,6.27,189.0,0,16,25,29,0,4,15,28
2018-02-01,5.47,9.68,247.8,0,10,14,16,0,9,14,16
2018-03-01,4.5,8.26,233.3,0,8,18,23,0,3,6,7
2018-04-01,8.3,11.91,270.2,0,0,4,6,0,0,1,3
2018-05-01,10.5,14.26,269.9,0,0,0,0,0,0,0,0
2018-06-01,8.8,12.67,269.9,0,0,1,2,0,0,1,1
2018-07-01,10.97,14.32,275.0,0,0,0,1,0,0,0,1
2018-08-01,9.43,12.43,275.0,0,0,0,1,0,0,0,1
2018-09-01,9.09,13.08,272.5,0,0,2,4,0,0,1,2
2018-10-01,7.99,11.79,278.2,0,2,5,10,0,1,2,5
2018-11-01,3.97,7.41,216.9,0,15,21,25,0,10,13,14
2018-12-01,4.48,7.82,205.0,0,14,20,25,0,7,18,19
2019-01-01,4.62,8.44,174.2,0,15,19,24,0,6,9,9
