date,SBay-Wmean,SBay-Wmax,SBay-Dmean,Ndays_AvLt1.0,Ndays_AvLt3.0,Ndays_AvLt4.5,Ndays_AvLt6.0,Lstr_AvLt1.0,Lstr_AvLt3.0,Lstr_AvLt4.5,Lstr_AvLt6.0
2004-01-01,4.88,9.92,148.9,0,7,17,21,0,2,5,9
2004-02-01,5.48,10.88,198.2,0,3,12,17,0,1,3,5
2004-03-01,7.34,13.58,226.4,0,4,7,15,0,2,3,8
2004-04-01,9.76,16.49,248.2,0,0,1,4,0,0,1,2
2004-05-01,11.95,18.12,246.2,0,0,0,0,0,0,0,0
2004-06-01,13.51,18.78,246.4,0,0,0,0,0,0,0,0
2004-07-01,14.68,18.89,251.2,0,0,0,0,0,0,0,0
2004-08-01,12.41,17.55,255.8,0,0,0,2,0,0,0,2
2004-09-01,8.3,13.57,247.7,0,0,6,7,0,0,5,5
2004-10-01,6.87,11.97,219.5,0,1,8,16,0,1,2,6
2004-11-01,4.67,9.29,168.9,0,6,18,23,0,2,5,12
2004-12-01,5.81,10.77,120.2,0,4,11,16,0,1,5,6
2005-01-01,5.93,10.39,132.5,0,9,13,17,0,3,5,7
2005-02-01,4.75,9.43,159.6,0,7,15,19,0,3,5,12
2005-03-01,6.28,11.69,223.5,0,4,11,18,0,2,7,15
2005-04-01,8.95,16.27,225.9,0,0,1,4,0,0,1,2
2005-05-01,10.67,16.82,242.3,0,0,0,0,0,0,0,0
2005-06-01,11.43,17.12,245.8,0,0,0,0,0,0,0,0
2005-07-01,14.44,19.67,244.4,0,0,0,0,0,0,0,0
2005-08-01,14.49,19.54,248.8,0,0,0,1,0,0,0,1
2005-09-01,9.74,15.02,237.2,0,0,1,5,0,0,1,3
2005-10-01,8.28,15.0,219.6,0,0,2,10,0,0,1,4
2005-11-01,6.62,13.39,181.9,0,2,8,14,0,1,5,8
2005-12-01,6.2,12.34,151.5,0,4,11,19,0,2,4,7
2006-01-01,6.2,13.23,171.7,0,1,5,16,0,1,2,5
2006-02-01,5.78,11.99,167.0,0,1,8,19,0,1,2,8
2006-03-01,7.38,16.03,187.5,0,0,2,13,0,0,2,4
2006-04-01,7.88,15.26,205.4,0,0,1,9,0,0,1,4
2006-05-01,11.17,17.66,234.6,0,0,0,0,0,0,0,0
2006-06-01,12.4,18.76,234.7,0,0,0,1,0,0,0,1
2006-07-01,12.49,18.31,239.7,0,0,0,0,0,0,0,0
2006-08-01,13.52,18.99,242.0,0,0,0,0,0,0,0,0
2006-09-01,11.11,18.17,228.5,0,0,0,5,0,0,0,3
2006-10-01,7.36,13.57,212.0,0,0,3,13,0,0,1,3
2006-11-01,6.45,12.52,194.8,0,1,7,14,0,1,4,8
2006-12-01,6.38,12.24,138.9,0,0,8,20,0,0,2,6
2007-01-01,6.27,12.38,175.5,0,0,9,19,0,0,2,6
2007-02-01,7.2,13.47,191.6,0,0,3,10,0,0,1,4
2007-03-01,8.35,15.28,219.3,0,0,4,9,0,0,2,3
2007-04-01,10.72,18.82,244.6,0,0,0,1,0,0,0,1
2007-05-01,12.88,19.88,231.1,0,0,0,0,0,0,0,0
2007-06-01,12.83,19.82,245.1,0,0,0,0,0,0,0,0
2007-07-01,13.78,19.9,248.2,0,0,0,0,0,0,0,0
2007-08-01,13.31,19.43,258.2,0,0,0,0,0,0,0,0
2007-09-01,10.32,17.32,253.3,0,0,0,6,0,0,0,4
2007-10-01,8.22,15.86,231.8,0,0,1,6,0,0,1,3
2007-11-01,6.86,12.76,211.1,0,0,6,14,0,0,2,3
2007-12-01,6.71,13.27,180.9,0,0,5,17,0,0,2,8
2008-01-01,7.45,13.52,151.8,0,0,5,10,0,0,1,4
2008-02-01,6.86,12.85,203.5,0,0,7,15,0,0,3,5
2008-03-01,8.74,16.38,243.9,0,0,1,7,0,0,1,5
2008-04-01,10.72,18.45,261.7,0,0,1,3,0,0,1,2
2008-05-01,11.75,18.02,257.8,0,0,0,0,0,0,0,0
2008-06-01,11.68,17.94,263.5,0,0,0,3,0,0,0,2
2008-07-01,13.68,18.72,272.5,0,0,0,0,0,0,0,0
2008-08-01,13.13,19.0,265.1,0,0,0,0,0,0,0,0
2008-09-01,11.57,16.81,249.4,0,0,0,5,0,0,0,2
2008-10-01,7.77,13.28,207.3,0,1,7,12,0,1,4,4
2008-11-01,6.84,12.52,185.3,0,2,7,15,0,1,3,4
2008-12-01,6.52,12.41,146.7,0,2,7,13,0,1,2,3
2009-01-01,5.83,11.52,121.6,0,3,12,18,0,1,4,7
2009-02-01,6.55,12.06,157.1,0,0,4,14,0,0,1,6
2009-03-01,8.72,15.62,225.5,0,0,0,6,0,0,0,2
2009-04-01,9.95,16.98,225.5,0,0,2,4,0,0,1,2
2009-05-01,11.7,17.97,245.8,0,0,0,1,0,0,0,1
2009-06-01,12.2,18.55,249.7,0,0,0,0,0,0,0,0
2009-07-01,14.32,19.5,253.0,0,0,0,0,0,0,0,0
2009-08-01,12.22,17.46,256.9,0,0,0,2,0,0,0,2
2009-09-01,9.66,15.74,254.3,0,0,1,3,0,0,1,2
2009-10-01,7.34,12.97,225.3,0,0,8,16,0,0,3,5
2009-11-01,4.89,10.54,181.9,0,4,18,23,0,2,6,8
2009-12-01,5.37,9.82,128.5,0,5,14,21,0,2,5,6
2010-01-01,5.82,10.63,123.7,0,2,10,18,0,1,3,6
2010-02-01,5.1,10.24,173.6,0,2,14,21,0,1,5,9
2010-03-01,6.57,13.59,217.5,0,0,9,17,0,0,3,7
2010-04-01,7.72,14.3,228.1,0,0,4,7,0,0,2,2
2010-05-01,9.45,16.23,247.2,0,0,0,3,0,0,0,1
2010-06-01,9.9,16.2,246.3,0,0,0,1,0,0,0,1
2010-07-01,14.01,17.92,256.9,0,0,0,0,0,0,0,0
2010-08-01,12.01,17.23,251.0,0,0,2,3,0,0,2,3
2010-09-01,8.1,13.19,239.5,0,1,7,11,0,1,3,6
2010-10-01,7.27,12.83,215.8,0,2,5,13,0,1,2,3
2010-11-01,5.71,12.38,188.0,0,1,10,18,0,1,6,7
2010-12-01,5.37,10.82,154.4,0,1,14,24,0,1,5,11
2011-01-01,5.29,9.73,110.9,0,5,15,20,0,2,7,7
2011-02-01,5.99,11.38,192.2,0,5,11,16,0,3,4,5
2011-03-01,7.51,14.74,222.4,0,0,2,7,0,0,1,4
2011-04-01,11.08,18.43,256.2,0,0,1,3,0,0,2,2
2011-05-01,9.65,16.42,245.5,0,0,0,4,0,0,0,2
2011-06-01,8.77,14.79,238.8,0,0,1,2,0,0,1,1
2011-07-01,12.63,17.18,259.8,0,0,0,0,0,0,0,0
2011-08-01,12.05,16.63,257.9,0,0,0,0,0,0,0,0
2011-09-01,10.24,15.68,251.1,0,0,2,6,0,0,1,3
2011-10-01,6.09,12.21,219.1,0,3,11,17,0,1,5,6
2011-11-01,5.32,11.43,164.9,0,5,12,20,0,2,4,6
2011-12-01,5.49,10.87,153.5,0,3,16,23,0,1,6,8
2012-01-01,5.3,10.99,176.5,0,3,12,22,0,1,4,9
2012-02-01,6.45,12.8,202.3,0,0,6,15,0,0,2,4
2012-03-01,7.09,14.64,214.9,0,0,6,13,0,0,2,4
2012-04-01,9.08,16.22,242.6,0,0,1,5,0,0,1,2
2012-05-01,10.27,16.82,251.0,0,0,1,3,0,0,1,3
2012-06-01,11.04,17.81,252.3,0,0,1,2,0,0,1,2
2012-07-01,12.08,17.45,255.7,0,0,0,0,0,0,0,0
2012-08-01,12.98,17.95,259.2,0,0,0,0,0,0,0,0
2012-09-01,12.06,17.05,259.7,0,0,0,0,0,0,0,0
2012-10-01,7.32,13.31,237.6,0,3,7,12,0,2,3,4
2012-11-01,5.12,10.27,184.9,0,7,15,21,0,4,4,10
2012-12-01,5.19,10.83,174.5,0,7,14,21,0,3,3,9
2013-01-01,5.69,11.25,137.8,0,1,11,20,0,1,3,7
2013-02-01,5.78,10.84,209.7,0,2,9,17,0,1,5,10
2013-03-01,7.27,13.97,224.3,0,0,3,11,0,0,1,4
2013-04-01,9.9,16.1,246.4,0,0,2,5,0,0,1,2
2013-05-01,10.45,17.41,246.0,0,0,0,2,0,0,0,1
2013-06-01,11.86,17.92,254.0,0,0,0,1,0,0,0,1
2013-07-01,14.64,19.09,263.7,0,0,0,0,0,0,0,0
2013-08-01,11.79,17.63,254.1,0,0,0,0,0,0,0,0
2013-09-01,9.13,16.52,244.8,0,1,3,6,0,1,2,2
2013-10-01,7.01,12.64,212.8,0,1,9,16,0,1,4,8
2013-11-01,5.71,11.32,181.0,0,2,14,21,0,1,4,10
2013-12-01,5.49,10.32,138.4,0,3,13,24,0,2,5,12
2014-01-01,5.27,9.87,164.2,0,2,11,19,0,1,6,16
2014-02-01,6.51,11.61,206.5,0,0,1,8,0,0,1,3
2014-03-01,7.16,13.58,199.2,0,1,5,12,0,1,1,3
2014-04-01,9.27,16.28,231.2,0,0,0,3,0,0,0,2
2014-05-01,10.06,16.85,241.9,0,0,0,2,0,0,0,1
2014-06-01,11.72,17.17,249.1,0,0,0,0,0,0,0,0
2014-07-01,14.1,18.83,257.9,0,0,0,0,0,0,0,0
2014-08-01,12.77,17.71,254.7,0,0,0,0,0,0,0,0
2014-09-01,11.17,16.46,250.8,0,0,0,0,0,0,0,0
2014-10-01,6.92,12.75,213.0,0,0,5,12,0,0,1,4
2014-11-01,5.71,10.4,154.2,0,0,6,18,0,0,2,9
2014-12-01,6.05,11.9,133.8,0,2,12,20,0,1,3,9
2015-01-01,5.06,9.2,112.5,0,3,14,23,0,2,3,9
2015-02-01,6.67,12.0,160.8,0,0,8,16,0,0,4,9
2015-03-01,7.01,12.88,215.6,0,1,4,11,0,1,1,6
2015-04-01,9.73,17.17,228.2,0,0,1,1,0,0,1,1
2015-05-01,11.13,16.2,234.9,0,0,0,1,0,0,0,1
2015-06-01,12.36,17.62,252.9,0,0,0,0,0,0,0,0
2015-07-01,12.67,17.78,249.7,0,0,0,0,0,0,0,0
2015-08-01,11.94,17.08,248.7,0,0,0,2,0,0,0,2
2015-09-01,8.67,14.38,230.3,0,0,2,7,0,0,2,3
2015-10-01,7.45,13.43,229.2,0,0,1,10,0,0,1,4
2015-11-01,5.82,11.48,169.6,0,2,11,18,0,1,6,7
2015-12-01,5.71,10.91,167.5,0,6,14,18,0,2,6,6
2016-01-01,6.14,10.63,141.7,0,3,9,13,0,1,2,3
2016-02-01,5.53,10.72,165.0,0,2,12,17,0,1,6,7
2016-03-01,7.22,12.72,223.5,0,0,6,10,0,0,2,4
2016-04-01,9.42,16.17,236.1,0,0,1,3,0,0,1,1
2016-05-01,10.65,15.73,248.6,0,0,0,0,0,0,0,0
2016-06-01,11.36,16.63,249.4,0,0,0,1,0,0,0,1
2016-07-01,12.86,18.0,253.0,0,0,0,0,0,0,0,0
2016-08-01,14.33,18.78,256.8,0,0,0,0,0,0,0,0
2016-09-01,9.96,15.27,237.4,0,0,2,5,0,0,1,2
