date,SCen-Wmean,SCen-Wmax,SCen-Dmean,Ndays_AvLt1.0,Ndays_AvLt3.0,Ndays_AvLt4.5,Ndays_AvLt6.0,Lstr_AvLt1.0,Lstr_AvLt3.0,Lstr_AvLt4.5,Lstr_AvLt6.0
2004-01-01,5.21,9.6,203.2,0,3,16,23,0,1,6,17
2004-02-01,6.58,11.88,207.1,0,1,7,15,0,1,3,6
2004-03-01,6.08,10.45,262.6,0,4,9,18,0,2,2,5
2004-04-01,7.33,12.78,270.6,0,0,2,10,0,0,2,3
2004-05-01,7.23,12.38,257.6,0,0,2,6,0,0,1,4
2004-06-01,8.17,13.45,269.7,0,0,0,2,0,0,0,1
2004-07-01,7.34,12.94,281.2,0,0,0,8,0,0,0,3
2004-08-01,6.99,11.98,274.2,0,0,1,12,0,0,1,4
2004-09-01,6.0,10.21,250.5,0,1,8,17,0,1,3,8
2004-10-01,5.68,10.2,225.2,0,2,11,21,0,2,3,5
2004-11-01,5.18,9.25,193.4,0,5,18,23,0,2,6,7
2004-12-01,5.77,10.35,181.2,0,7,17,22,0,2,6,12
2005-01-01,4.91,9.29,167.7,0,4,18,24,0,1,8,15
2005-02-01,4.91,9.03,211.9,0,2,14,21,0,2,7,8
2005-03-01,6.13,10.6,219.7,0,3,11,17,0,2,4,5
2005-04-01,6.84,11.99,259.9,0,1,3,16,0,1,2,8
2005-05-01,6.65,11.54,266.4,0,0,2,9,0,0,1,9
2005-06-01,6.8,12.12,272.1,0,0,2,7,0,0,1,2
2005-07-01,6.63,11.58,276.8,0,0,0,11,0,0,0,4
2005-08-01,6.6,11.36,282.1,0,0,0,6,0,0,0,1
2005-09-01,5.34,9.52,258.1,0,1,8,20,0,1,3,5
2005-10-01,5.46,10.06,243.8,0,3,11,22,0,1,3,9
2005-11-01,5.12,9.58,240.2,0,7,13,20,0,5,9,10
2005-12-01,5.98,10.39,194.9,0,3,15,18,0,2,12,13
2006-01-01,5.69,9.78,200.5,0,5,12,20,0,2,3,5
2006-02-01,4.99,8.71,216.1,0,5,17,22,0,3,8,12
2006-03-01,6.77,11.55,202.7,0,1,5,13,0,1,2,4
2006-04-01,6.12,11.11,240.1,0,0,2,15,0,0,1,5
2006-05-01,6.27,11.49,263.9,0,0,1,16,0,0,1,6
2006-06-01,6.71,11.46,280.6,0,0,0,6,0,0,0,2
2006-07-01,5.67,9.93,278.6,0,0,7,19,0,0,3,6
2006-08-01,6.08,10.45,292.6,0,0,3,18,0,0,1,4
2006-09-01,6.2,10.13,286.2,0,0,5,15,0,0,2,5
2006-10-01,4.58,8.5,244.2,0,6,17,28,0,4,7,9
2006-11-01,4.97,9.1,222.2,0,8,13,22,0,3,6,13
2006-12-01,5.42,9.38,209.9,0,9,17,21,0,3,8,9
2007-01-01,4.97,8.93,220.9,0,9,19,26,0,3,7,10
2007-02-01,5.88,9.94,217.8,0,6,8,12,0,5,7,16
2007-03-01,5.52,9.82,258.2,0,3,14,18,0,1,4,6
2007-04-01,7.14,11.96,261.3,0,0,3,9,0,0,2,3
2007-05-01,7.93,13.02,277.7,0,0,3,5,0,0,1,2
2007-06-01,7.23,12.87,282.8,0,0,2,7,0,0,1,5
2007-07-01,7.01,12.17,280.6,0,0,3,10,0,0,2,4
2007-08-01,5.76,10.2,272.4,0,0,3,20,0,0,1,9
2007-09-01,5.44,9.79,258.9,0,2,9,20,0,1,7,8
2007-10-01,4.59,8.17,250.8,0,9,15,25,0,3,5,13
2007-11-01,3.98,7.7,257.0,0,9,21,25,0,4,6,8
2007-12-01,5.71,10.5,210.5,0,7,12,17,0,4,4,6
2008-01-01,5.99,11.07,191.1,0,9,11,18,0,4,7,7
2008-02-01,5.69,10.59,238.7,0,8,19,21,0,3,8,8
2008-03-01,6.33,11.37,264.8,0,1,8,14,0,1,2,4
2008-04-01,5.76,9.79,266.4,0,1,9,16,0,1,3,6
2008-05-01,6.13,10.53,261.9,0,0,5,20,0,0,1,5
2008-06-01,5.61,9.46,281.0,0,1,7,22,0,1,2,16
2008-07-01,4.91,9.05,277.1,0,1,10,25,0,1,4,16
2008-08-01,4.47,8.41,277.7,0,1,17,28,0,1,7,32
2008-09-01,6.38,10.57,289.4,0,1,6,12,0,1,4,6
2008-10-01,6.53,11.27,253.1,0,4,11,16,0,2,5,5
2008-11-01,5.11,9.33,231.5,0,2,16,23,0,2,5,10
2008-12-01,6.7,11.61,197.1,0,1,12,18,0,1,4,11
2009-01-01,4.24,7.8,208.3,0,9,19,27,0,3,11,23
2009-02-01,4.2,7.65,200.6,0,14,16,21,0,7,9,30
2009-03-01,5.29,9.43,255.5,0,3,13,24,0,1,4,18
2009-04-01,4.36,7.12,245.7,0,7,16,24,0,4,7,11
2009-05-01,4.27,7.34,264.0,0,3,18,27,0,2,7,14
2009-06-01,5.26,9.73,258.8,0,1,9,21,0,1,4,9
2009-07-01,5.08,9.57,276.2,0,0,12,24,0,0,5,23
2009-08-01,4.87,8.72,273.5,0,1,12,24,0,1,4,11
2009-09-01,4.02,7.49,257.5,0,10,20,26,0,3,12,22
2009-10-01,4.64,8.67,242.1,0,7,24,26,0,2,8,13
2009-11-01,4.44,8.6,220.5,0,12,17,24,0,5,6,10
2009-12-01,4.05,8.63,191.0,0,9,22,27,0,3,7,9
2010-01-01,5.44,10.31,165.1,0,8,18,21,0,2,12,12
2010-02-01,5.25,9.95,195.6,0,8,14,18,0,6,8,10
2010-03-01,5.92,11.12,228.3,0,3,10,18,0,1,2,7
2010-04-01,6.77,12.34,232.9,0,1,4,13,0,1,1,7
2010-05-01,8.01,13.88,253.8,0,0,2,6,0,0,1,2
2010-06-01,8.24,14.23,257.0,0,0,0,4,0,0,0,2
2010-07-01,7.2,12.75,283.8,0,0,0,5,0,0,0,3
2010-08-01,6.33,11.39,270.2,0,0,1,13,0,0,1,4
2010-09-01,5.51,10.35,253.5,0,2,11,22,0,1,6,8
2010-10-01,4.9,9.43,237.1,0,5,14,24,0,2,3,11
2010-11-01,4.63,9.14,221.7,0,10,16,22,0,5,6,11
2010-12-01,5.07,10.38,173.8,0,9,19,21,0,4,7,7
2011-01-01,2.76,6.1,164.9,0,25,27,28,0,11,26,27
2011-02-01,4.81,10.41,218.2,0,7,17,22,0,4,5,7
2011-03-01,6.34,13.18,209.7,0,6,9,16,0,2,3,4
2011-04-01,7.77,13.91,247.7,0,1,4,7,0,2,2,3
2011-05-01,8.27,14.3,238.5,0,0,0,4,0,0,0,2
2011-06-01,6.89,12.9,250.7,0,0,1,5,0,0,1,2
2011-07-01,7.16,12.37,270.6,0,0,0,5,0,0,0,3
2011-08-01,6.04,11.38,270.4,0,0,1,15,0,0,1,3
2011-09-01,5.66,10.59,269.2,0,1,7,17,0,1,2,7
2011-10-01,4.47,9.31,244.8,0,8,16,24,0,2,5,9
2011-11-01,5.29,10.39,207.5,0,5,14,23,0,2,4,12
2011-12-01,3.87,7.91,202.0,0,14,25,27,0,7,11,11
2012-01-01,4.14,8.33,203.2,0,15,22,24,0,4,7,15
2012-02-01,5.44,10.81,224.2,0,4,14,22,0,3,9,16
2012-03-01,5.81,11.16,212.7,0,6,12,17,0,2,3,3
2012-04-01,6.54,11.83,246.6,0,2,6,12,0,1,2,5
2012-05-01,7.44,13.28,252.9,0,0,2,9,0,0,1,2
2012-06-01,8.04,13.93,254.5,0,0,0,3,0,0,0,1
2012-07-01,6.24,11.41,263.2,0,0,0,14,0,0,0,5
2012-08-01,6.13,11.3,261.0,0,0,1,17,0,0,1,7
2012-09-01,5.07,9.26,259.8,0,0,12,23,0,0,3,11
2012-10-01,4.5,9.13,232.1,0,5,16,24,0,3,5,14
2012-11-01,3.72,7.25,190.6,0,15,22,24,0,5,11,13
2012-12-01,5.44,10.07,182.2,0,4,13,21,0,3,5,13
2013-01-01,3.26,6.83,209.8,0,18,24,27,0,11,12,15
2013-02-01,4.82,9.25,226.9,0,10,14,18,0,6,8,8
2013-03-01,5.04,9.58,236.3,0,7,14,24,0,4,5,7
2013-04-01,7.85,13.72,262.9,0,1,3,11,0,1,1,4
2013-05-01,7.34,12.68,245.5,0,0,0,8,0,0,0,3
2013-06-01,7.32,12.62,260.0,0,0,1,6,0,0,1,2
2013-07-01,6.36,11.58,279.2,0,0,0,14,0,0,0,4
2013-08-01,6.09,12.0,254.6,0,0,1,16,0,0,1,5
2013-09-01,6.14,11.12,247.1,0,0,6,15,0,0,2,4
2013-10-01,4.58,8.74,242.0,0,7,21,24,0,2,10,13
2013-11-01,3.97,7.9,219.8,0,14,24,25,0,8,10,10
2013-12-01,3.44,6.85,205.3,0,19,23,26,0,9,11,12
2014-01-01,2.84,6.14,204.3,0,23,27,29,0,15,22,23
2014-02-01,5.2,9.97,209.7,0,5,15,20,0,3,6,10
2014-03-01,5.15,9.73,221.9,0,2,16,23,0,1,3,13
2014-04-01,5.62,10.43,240.7,0,2,9,18,0,1,4,10
2014-05-01,7.01,12.65,247.0,0,1,5,11,0,1,3,4
2014-06-01,6.76,12.64,257.3,0,0,0,11,0,0,0,3
2014-07-01,6.57,12.57,278.5,0,0,1,11,0,0,1,3
2014-08-01,5.65,10.67,272.1,0,0,4,18,0,0,1,6
2014-09-01,5.15,9.92,264.1,0,1,7,26,0,1,3,9
2014-10-01,3.89,7.64,241.9,0,8,24,27,0,5,10,11
2014-11-01,3.19,6.81,205.4,1,16,23,28,1,5,10,19
2014-12-01,5.14,9.69,178.9,0,11,17,21,0,4,4,9
2015-01-01,2.71,5.73,177.3,0,22,28,31,0,15,23,31
2015-02-01,4.12,8.51,213.8,0,13,19,22,0,6,7,36
2015-03-01,4.23,8.48,237.1,0,10,18,26,0,4,12,12
2015-04-01,6.05,11.16,252.2,0,0,9,17,0,0,3,5
2015-05-01,6.44,11.96,237.6,0,0,4,10,0,0,2,6
2015-06-01,5.81,11.32,260.6,0,0,3,19,0,0,1,6
2015-07-01,6.11,12.39,258.7,0,0,2,14,0,0,1,5
2015-08-01,5.65,10.88,261.0,0,1,5,17,0,1,2,5
2015-09-01,4.39,8.58,250.3,0,5,15,26,0,2,4,13
