Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2023,10,2023-10-01,17000,36,69,325,140,1680,2215,19251,280,6671,3455,67,10473,2137,0,0,2137,7790,-1858,8648,6640,0.53,66,17571,62,79.28
2023,10,2023-10-02,16800,35,81,296,188,1710,2275,19110,280,6673,3457,74,10484,2086,0,0,2086,5610,-3955,10641,6540,0.53,66,17400,62,79.41
2023,10,2023-10-03,16500,32,76,277,194,1640,2187,18719,288,5991,3460,79,9817,2030,0,0,2030,3813,-5136,12151,6873,0.5,63,17079,60,79.5
2023,10,2023-10-04,15800,32,72,306,175,1470,2023,17854,295,4994,3334,75,8699,2015,0,0,2015,3500.45,-4486,11767,7140,0.46,60,16384,56,79.55
2023,10,2023-10-05,15100,32,70,786,158,1560,2574,17706,290,4988,3196,93,8567,1969,0,0,1969,3660,-3612,10921,7171,0.46,60,16146,56,79.6
2023,10,2023-10-06,14400,31,68,1247,135,2030,3480,17911,290,2989,4000,90,7368,1965,0,0,1965,5280,114,8601,8578,0.39,52,15881,46,79.54
2023,10,2023-10-07,13500,30,65,1074,107,2890,4136,17666,283,2490,4288,89,7150,1918,0,0,1918,5900,1640,7093,8598,0.38,51,14776,42,79.47
2023,10,2023-10-08,12700,31,65,826,85,3190,4166,16897,274,2494,4284,90,7142,1913,0,0,1913,5620,1400,6575,7842,0.4,54,13707,43,79.47
2023,10,2023-10-09,12400,32,62,560,65,3070,3758,16190,245,1989,4323,92,6649,1927,0,0,1927,3840,-304,8052,7614,0.39,53,13120,42,79.49
2023,10,2023-10-10,12400,32,66,337,61,2480,2944,15376,230,298,3462,84,4074,1877,0,0,1877,2998,648,8909,9425,0.24,39,12896,27,79.37
2023,10,2023-10-11,12400,33,67,369,61,2000,2497,14930,248,296,3485,86,4115,1871,0,0,1871,2990.01,156,8919,8944,0.25,40,12930,31,79.28
2023,10,2023-10-12,12200,36,71,851,62,1850,2834,15070,253,799,2651,78,3782,1870,0,0,1870,3214,1051,8499,9419,0.23,38,13220,29,79.17
2023,10,2023-10-13,11900,35,70,1279,80,2260,3689,15624,252,799,2645,76,3772,1870,0,0,1870,4650,3351,6761,9982,0.22,36,13364,25,79.03
2023,10,2023-10-14,11400,33,67,1106,99,3400,4672,16105,252,798,2646,83,3778,1821,0,0,1821,5450,5160,5473,10506,0.21,35,12705,17,78.87
2023,10,2023-10-15,10900,32,65,858,98,3710,4732,15663,189,798,2056,93,3136,1837,0,0,1837,5190,5591,5227,10690,0.18,32,11953,11,78.7
2023,10,2023-10-16,10600,31,62,597,99,3270,4027,14659,204,794,2645,91,3733,1836,0,0,1836,3860,2961,6257,9090,0.23,38,11389,20,78.64
2023,10,2023-10-17,10600,31,61,370,97,2620,3148,13779,227,794,2639,86,3746,1824,0,0,1824,2825.6,1042,7295,8208,0.25,40,11159,26,78.66
2023,10,2023-10-18,10400,105,63,406,98,2140,2706,13211,233,794,1809,72,2908,1773,0,0,1773,2710.9,1357,7298,8530,0.2,35,11071,23,78.65
2023,10,2023-10-19,10100,146,62,880,97,1910,2949,13195,227,791,921,68,2006,1771,0,0,1771,2839,2631,6911,9418,0.13,29,11285,17,78.57
2023,10,2023-10-20,9740,133,62,1291,97,2110,3560,13433,222,795,923,70,2009,1768,0,0,1768,3860,4262,5518,9656,0.13,28,11323,15,78.48
2023,10,2023-10-21,9830,133,60,1106,97,2550,3813,13777,227,794,924,73,2017,1774,0,0,1774,4440,5083,5026,9985,0.12,28,11227,11,78.38
2023,10,2023-10-22,10100,134,66,876,97,3000,4039,14273,227,800,922,56,2004,1783,573.262708333,0,1210,4410,5659,5485,11060,0.12,23,12142,9,78.22
2023,10,2023-10-23,10600,123,104,619,98,3120,3941,14664,167,0,921,67,1154,1732,573.262708333,0,1159,3212,5245,7186,12350,0.06,16,13023,5,77.99
2023,10,2023-10-24,10700,100,92,381,97,2640,3210,14010,134,0,919,51,1104,1735,573.262708333,0,1162,2717.7,4069,7757,11745,0.06,16,12418,5,77.81
2023,10,2023-10-25,10600,67,75,414,99,2120,2707,13375,221,299,918,43,1481,1732,573.262708333,0,1159,2770.01,3243,7573,10734,0.09,20,11823,9,77.7
2023,10,2023-10-26,10800,47,70,899,99,1930,2998,13845,227,290,917,55,1488,1720,573.262708333,0,1147,3003,3768,7523,11210,0.08,19,11915,6,77.56
2023,10,2023-10-27,10700,40,72,1316,100,2240,3728,14468,235,290,914,80,1519,1725,0,0,1725,4330,5418,5927,11224,0.08,22,12228,8,77.43
