"","SubRegion","Month","Year","Microcystis","Secchi","DissNitrateNitrite","DissAmmonia","pH","Chl","Conductivity","Temperature","DissolvedOxygen","TurbidityNTU","TKN","TON","Salinity","DissOrthophos","TotPhos"
"1","Cache Slough and Lindsey Slough",6,2017,1,73.6666666666667,0.075,0.02,NA,3.4,336.166666666667,21.5,NA,11.25,NA,NA,0.160194259609461,0.098,NA
"2","Cache Slough and Lindsey Slough",7,2018,1,144.5,0.0771111111111111,0.0259259259259259,NA,3.30769230769231,145.5,22.15,NA,6.7,NA,NA,0.0680021902379771,0.11462962962963,NA
"3","Cache Slough and Lindsey Slough",8,2018,1,194.5,0.0729285714285714,0.0178571428571429,NA,2.83333333333333,155.5,21.4,NA,4.35,NA,NA,0.0727916449073001,0.104642857142857,NA
"4","Cache Slough and Lindsey Slough",9,2018,1,230,0.0475,0.015,NA,0.8,206,21.3,NA,3.9,NA,NA,0.0970161165452006,0.1115,NA
"5","Cache Slough and Lindsey Slough",10,2017,1,118,0.105,0.07,NA,NA,141,18.4,NA,6.2,NA,NA,0.0658474077830802,0.06,NA
"6","Cache Slough and Lindsey Slough",10,2018,1,123,0.0985555555555556,0.0296296296296296,NA,2.59,174,17,NA,6.2,NA,NA,0.0816568656327022,0.0835555555555555,NA
"7","Carquinez Strait",1,2016,1,70,0.50397186,0.21402696,7.9,1.6,30966.5,10.71,9.5,NA,NA,NA,14.6599108934297,0.06783306,NA
"8","Carquinez Strait",1,2017,1,17,0.374652296666667,0.11767883,7.7425,1.64,1523.25,9.71,10.6057142857143,NA,0.55,NA,0.517313677352434,0.0684517133333333,0.165
"9","Carquinez Strait",1,2018,1,76,0.4680073,0.187998983333333,7.83,1.914,27183,11.158,9.21,NA,0.3,NA,16.3921411748084,0.0790417533333333,0.095
"10","Carquinez Strait",1,2019,1,64,0.55,0.205,7.715,1.175,24080,11.035,9.165,NA,0.3895,NA,14.6005343181115,0.0945,0.1
"11","Carquinez Strait",1,2020,1,51,0.44869097,0.180333483333333,7.87,1.714,27896,10.49,9.582,NA,0.52,NA,14.2930270974247,0.0775343933333333,0.13
"12","Carquinez Strait",1,2022,1,56,0.502,0.119,7.785,2.17,25800.5,10.986,9.266,NA,0.3095,NA,13.5197054578968,0.081,0.096
"13","Carquinez Strait",2,2016,1,50,0.47399688,0.15197595,7.85,1.43333333333333,24566.5,12.238,9,NA,NA,NA,10.0777034148592,0.06597462,NA
