DWR_Site,EMP_Site,Lat,Lon,Collection_Date,Date_EMP,MC_EMP,MC_Peggy
RR,P8,37.9633,-121.3663,7/14/2014,,,4.67E+08
FT,D19,38.0468,-121.6192,7/14/2014,7/2/2014,3.01E+05,1.29E+08
AT,D12,38.0232,-121.8071,7/14/2014,,,6.46E+07
OR,D28A,37.9706,-121.5725,7/14/2014,7/2/2014,2.53E+05,5.44E+07
CV,D4,38.0602,-121.824,7/14/2014,,,4.18E+07
FT,D19,38.0468,-121.6192,7/28/2014,,,3.94E+07
CV,D4,38.0602,-121.824,7/28/2014,,,8.16E+06
OR,D28A,37.9706,-121.5725,7/28/2014,,,7.34E+06
AT,D12,38.0232,-121.8071,7/28/2014,,,4.72E+06
RR,P8,37.9633,-121.3663,7/28/2014,,,3.51E+06
AT,D12,38.0232,-121.8071,8/11/2014,,,9.49E+06
RR,P8,37.9633,-121.3663,8/11/2014,,,6.11E+06
OR,D28A,37.9706,-121.5725,8/11/2014,,,3.95E+06
CV,D4,38.0602,-121.824,8/11/2014,,,2.35E+06
FT,D19,38.0468,-121.6192,8/11/2014,,,1.20E+06
AT,D12,38.0232,-121.8071,8/25/2014,,,6.76E+06
OR,D28A,37.9706,-121.5725,8/25/2014,,,5.25E+06
RR,P8,37.9633,-121.3663,8/25/2014,,,3.52E+06
CV,D4,38.0602,-121.824,8/25/2014,,,1.13E+06
FT,D19,38.0468,-121.6192,8/25/2014,,,3.44E+05
AT,D12,38.0232,-121.8071,9/11/2014,,,4.53E+06
CV,D4,38.0602,-121.824,9/11/2014,,,3.41E+06
FT,D19,38.0468,-121.6192,9/11/2014,,,2.81E+06
RR,P8,37.9633,-121.3663,9/11/2014,,,2.48E+06
OR,D28A,37.9706,-121.5725,9/11/2014,,,2.16E+06
FT,D19,38.0468,-121.6192,9/29/2014,,,1.20E+06
AT,D12,38.0232,-121.8071,9/29/2014,,,8.51E+05
OR,D28A,37.9706,-121.5725,9/29/2014,,,7.40E+05
CV,D4,38.0602,-121.824,9/29/2014,,,5.15E+05
RR,P8,37.9633,-121.3663,9/29/2014,,,3.16E+05
RR,P8,37.9633,-121.3663,10/13/2014,,,8.33E+05
CV,D4,38.0602,-121.824,10/13/2014,,,6.20E+05
AT,D12,38.0232,-121.8071,10/13/2014,,,5.97E+05
OR,D28A,37.9706,-121.5725,10/13/2014,,,4.33E+05
FT,D19,38.0468,-121.6192,10/13/2014,,,3.37E+05
CV,D4,38.0602,-121.824,10/27/2014,,,1.16E+06
AT,D12,38.0232,-121.8071,10/27/2014,,,9.88E+05
FT,D19,38.0468,-121.6192,10/27/2014,,,5.11E+05
OR,D28A,37.9706,-121.5725,10/27/2014,,,1.50E+05
RR,P8,37.9633,-121.3663,10/27/2014,,,8.17E+03
OR,D28A,37.9706,-121.5725,11/10/2014,,,1.75E+05
AT,D12,38.0232,-121.8071,11/10/2014,,,1.57E+05
CV,D4,38.0602,-121.824,11/10/2014,,,1.52E+05
FT,D19,38.0468,-121.6192,11/10/2014,,,3.32E+04
RR,P8,37.9633,-121.3663,11/10/2014,,,0.00E+00
AT,D12,38.0232,-121.8071,11/24/2014,,,4.93E+04
FT,D19,38.0468,-121.6192,11/24/2014,,,3.35E+04
CV,D4,38.0602,-121.824,11/24/2014,,,1.40E+04
OR,D28A,37.9706,-121.5725,11/24/2014,,,7.79E+02
RR,P8,37.9633,-121.3663,11/24/2014,,,0.00E+00
FT,D19,38.0468,-121.6192,12/10/2014,,,2.29E+04
RR,P8,37.9633,-121.3663,12/10/2014,,,5.60E+03
CV,D4,38.0602,-121.824,12/10/2014,,,2.30E+03
AT,D12,38.0232,-121.8071,12/10/2014,,,4.79E+02
OR,D28A,37.9706,-121.5725,12/10/2014,,,4.01E+02
AT,D12,38.0232,-121.8071,8/14/2015,8/19/2015,,8.40E+05
CV,D4,38.0602,-121.824,8/14/2015,,,3.76E+05
OR,D28A,37.9706,-121.5725,8/14/2015,,,3.40E+05
RR,P8,37.9633,-121.3663,8/14/2015,,,2.47E+05
FT,D19,38.0468,-121.6192,8/14/2015,8/19/2025,8.14E+04,2.37E+05
AT,D12,38.0232,-121.8071,8/27/2015,,,1.94E+06
CV,D4,38.0602,-121.824,8/27/2015,,,9.55E+05
OR,D28A,37.9706,-121.5725,8/27/2015,,,5.90E+05
RR,P8,37.9633,-121.3663,8/27/2015,8/25/2015,1.48E+05,2.77E+05
FT,D19,38.0468,-121.6192,8/27/2015,,,7.94E+04
AT,D12,38.0232,-121.8071,9/16/2015,,,5.64E+05
FT,D19,38.0468,-121.6192,9/16/2015,,,2.60E+05
CV,D4,38.0602,-121.824,9/16/2015,,,1.61E+05
RR,P8,37.9633,-121.3663,9/16/2015,,,8.16E+04
OR,D28A,37.9706,-121.5725,9/16/2015,,,6.06E+04
AT,D12,38.0232,-121.8071,9/28/2015,,,3.02E+05
CV,D4,38.0602,-121.824,9/28/2015,,,2.21E+05
FT,D19,38.0468,-121.6192,9/28/2015,,,9.58E+04
OR,D28A,37.9706,-121.5725,9/28/2015,,,3.96E+04
RR,P8,37.9633,-121.3663,9/28/2015,,,5.07E+03
AT,D12,38.0232,-121.8071,10/14/2015,,,1.46E+05
FT,D19,38.0468,-121.6192,10/14/2015,,,3.89E+05
OR,D28A,37.9706,-121.5725,10/14/2015,,,1.65E+05
RR,P8,37.9633,-121.3663,10/14/2015,,,8.18E+04
CV,D4,38.0602,-121.824,10/14/2015,,,5.32E+04
AT,D12,38.0232,-121.8071,10/27/2015,,,1.51E+05
FT,D19,38.0468,-121.6192,10/27/2015,,,6.29E+05
OR,D28A,37.9706,-121.5725,10/27/2015,,,3.01E+05
RR,P8,37.9633,-121.3663,10/27/2015,,,9.93E+04
CV,D4,38.0602,-121.824,10/27/2015,,,4.85E+04
AT,D12,38.0232,-121.8071,11/17/2015,,,1.07E+05
FT,D19,38.0468,-121.6192,11/17/2015,,,2.33E+04
RR,P8,37.9633,-121.3663,11/17/2015,,,5.74E+03
OR,D28A,37.9706,-121.5725,11/17/2015,,,4.56E+03
CV,D4,38.0602,-121.824,11/17/2015,,,3.16E+03
AT,D12,38.02161,-121.8063,6/9/2016,,,9.94E+03
OR,D28A,37.97048,-121.573,6/9/2016,6/9/2016,1.11E+04,2.43E+04
FT,D19,38.04376,-121.6148,6/9/2016,,,6.49E+03
RR,P8,37.97817,-121.3823,6/10/2016,,,2.65E+04
CV,D4,38.06248,-121.8205,6/13/2016,,,4.60E+03
FT,D19,38.04376,-121.6148,7/11/2016,7/11/2016,3.25E+05,3.29E+06
OR,D28A,37.97048,-121.573,7/11/2016,7/11/2016,2.22E+05,2.51E+06
AT,D12,38.02161,-121.8063,7/11/2016,,,1.14E+06
RR,P8,37.97817,-121.3823,7/12/2016,7/12/2016,1.12E+06,9.88E+05
CV,D4,38.06248,-121.8205,7/13/2016,7/13/2016,8.28E+04,8.62E+05
FT,D19,38.04376,-121.6148,8/8/2016,8/8/2016,2.21E+05,1.12E+06
OR,D28A,37.97048,-121.573,8/8/2016,8/8/2016,5.52E+04,2.38E+05
AT,D12,38.02161,-121.8063,8/8/2016,8/8/2016,1.04E+05,4.13E+06
RR,P8,37.97817,-121.3823,8/9/2016,8/9/2016,5.80E+05,1.46E+06
CV,D4,38.06248,-121.8205,8/10/2016,,,5.32E+04
FT,D19,38.04376,-121.6148,9/6/2016,,,2.57E+05
OR,D28A,37.97048,-121.573,9/6/2016,,,1.80E+05
AT,D12,38.02161,-121.8063,9/6/2016,,,3.98E+06
RR,P8,37.97817,-121.3823,9/9/2016,,,7.98E+06
CV,D4,38.06248,-121.8205,9/12/2016,,,1.44E+04
AT,D12,38.02161,-121.8063,10/20/2016,,,2.89E+04
OR,D28A,37.97048,-121.573,10/20/2016,,,8.07E+03
FT,D19,38.04376,-121.6148,10/20/2016,,,2.59E+03
RR,P8,37.97817,-121.3823,10/21/2016,,,9.35E+04
CV,D4,38.06248,-121.8205,10/24/2016,,,5.54E+03
FT,D19,38.04376,-121.6148,11/3/2016,,,1.22E+04
AT,D12,38.02161,-121.8063,11/3/2016,,,1.00E+04
OR,D28A,37.97048,-121.573,11/3/2016,,,8.08E+03
RR,P8,37.97817,-121.3823,11/4/2016,,,4.08E+03
CV,D4,38.06248,-121.8205,11/7/2016,,,8.54E+01
CV,D4,38.06248,-121.8205,6/14/2017,,,0.00E+00
AT,D12,38.02161,-121.8063,6/15/2017,,,0.00E+00
FT,D19,38.04376,-121.6148,6/15/2017,,,0.00E+00
OR,D28A,37.97048,-121.573,6/15/2017,,,0.00E+00
RR,P8,37.97817,-121.3823,6/16/2017,,,0.00E+00
CV,D4,38.06248,-121.8205,7/13/2017,,,0.00E+00
AT,D12,38.02161,-121.8063,7/14/2017,,,0.00E+00
FT,D19,38.04376,-121.6148,7/14/2017,,,0.00E+00
OR,D28A,37.97048,-121.573,7/14/2017,,,0.00E+00
RR,P8,37.97817,-121.3823,7/17/2017,7/17/2017,8.28E+04,2.37E+03
CV,D4,38.06248,-121.8205,8/10/2017,,,0.00E+00
AT,D12,38.02161,-121.8063,8/14/2017,,,2.83E+03
OR,D28A,37.97048,-121.573,8/14/2017,,,5.67E+02
FT,D19,38.04376,-121.6148,8/14/2017,,,0.00E+00
RR,P8,37.97817,-121.3823,8/15/2017,,,0.00E+00
CV,D4,38.06248,-121.8205,9/11/2017,,,4.62E+05
FT,D19,38.04376,-121.6148,9/12/2017,9/12/2017,2.61E+04,1.91E+06
OR,D28A,37.97048,-121.573,9/12/2017,9/12/2017,6.89E+04,1.01E+06
AT,D12,38.02161,-121.8063,9/12/2017,,,1.33E+03
RR,P8,37.97817,-121.3823,9/13/2017,,,3.01E+03
CV,D4,38.06248,-121.8205,10/9/2017,,,1.44E+04
FT,D19,38.04376,-121.6148,10/10/2017,10/10/2017,1.21E+04,1.92E+05
OR,D28A,37.97048,-121.573,10/10/2017,10/10/2017,5.74E+04,3.04E+04
AT,D12,38.02161,-121.8063,10/10/2017,,,2.72E+02
RR,P8,37.97817,-121.3823,10/11/2017,,,3.40E+03
AT,D12,38.02161,-121.8063,11/13/2017,,,0.00E+00
FT,D19,38.04376,-121.6148,11/13/2017,,,0.00E+00
OR,D28A,37.97048,-121.573,11/13/2017,11/13/2017,1.67E+04,0.00E+00
RR,P8,37.97817,-121.3823,11/14/2017,,,0.00E+00
CV,D4,38.06248,-121.8205,11/15/2017,,,5.40E+03
OR,D28A,37.97048,-121.573,6/4/2018,,,7.95E+03
FT,D19,38.04376,-121.6148,6/4/2018,,,2.57E+03
AT,D12,38.02161,-121.8063,6/4/2018,,,4.09E+03
CV,D4,38.06248,-121.8205,6/5/2018,,,5.49E+04
RR,P8,37.97817,-121.3823,6/7/2018,,,5.17E+04
RR,P8,37.97817,-121.3823,7/9/2018,,,3.75E+06
CV,D4,38.06248,-121.8205,7/18/2018,,,7.96E+07
OR,D28A,37.97048,-121.573,7/19/2018,7/19/2018,2.28E+05,2.40E+06
FT,D19,38.04376,-121.6148,7/19/2018,7/19/2018,6.78E+05,1.81E+06
AT,D12,38.02161,-121.8063,7/19/2018,,,7.92E+05
CV,D4,38.06248,-121.8205,8/2/2018,,,1.97E+05
