Station,StationCode,Latitude (WGS84),Longitude (WGS84)
Miner Slough near Sacramento River,MIR,38.2360319,-121.6660681
Steamboat Slough near Sacramento River,SXS,38.1912721,-121.6378941
Sacramento R Downstream of Isleton,SOI,38.175591,-121.656919
Fisherman's Cut,FCT,38.065612,-121.647933
Three Mile Slough near SJR,TSL,38.103248,-121.686169
Mokelumne River near Hwy 12,MOK,38.108177,-121.576441
Old River near Bacon Island at USGS Pile,OBI,37.968979,-121.572694
Bethel Island @ Piper Slough,BET,38.033354,-121.61984
False River near Oakley,FAL,38.055469,-121.667129
Holland Cut near Bethel Island,HOL,38.015821,-121.582124
Middle River near Holt,HLT,38.003081,-121.510933
Old River at Quimby Island,ORQ,38.027124,-121.564731
Old River near Franks Tract,OSJ,38.071247,-121.578382
San Joaquin River at Blind Point,BLP,38.0325,-121.719083
Turner Cut near Holt,TRN,37.992533,-121.454032
Werner Dredger Cut at Palm Tract,WDC,37.963996,-121.59485
Holland Cut at Holland Marina,HCHM,37.973694,-121.581278
Rock Slough at CCWD/Trash Rack,RSCC,37.976192,-121.639803
Rock Slough at Delta Road Bridge,DRB,37.97675,-121.620083
Paradise Cut Upstream,PDUP,37.801027,-121.373089
Paradise Cut,PDC,37.8020598,-121.4122564
Sugar Cut at Golden Anchor,SGA,37.79286,-121.421495
Old River above Doughty Cut,ORX,37.8109972,-121.386575
San Joaquin River above Dos Reis Park,SJD,37.8223312,-121.3177244
Victoria Canal,VCU,37.870944,-121.53
Grant Line Canal near Clifton Court Forebay,GLC,37.820128,-121.544661
Grant Line Canal East,GLE,37.82025,-121.434861
Middle River near Tracy Blvd,MRX,37.881425,-121.467399
Middle River at Howard Road,MHO,37.876184,-121.383288
Middle River at Undine Road,MRU,37.8339408,-121.3857561
Old River below DMC barrier,ODM,37.810972,-121.544417
Old River above Mountain House Creek,ORM,37.7938408,-121.5173813
Old River at TWA,TWA,37.802833,-121.457444
Old River near Head,OH1,37.807595,-121.331218
Tom Paine Slough above Intake Structure,TPI,37.790088,-121.41845
Truckee River at Bridge 8,TRB8,39.22933,-120.20522
Truckee River above TTSA,TRTT,39.3382,-120.13326
Little Truckee above Boca,LAB,39.435865,-120.084537
Truckee River at Farad,FAR,39.427687,-120.034064
Old River at Clifton Court Intake,ORI,37.8279717,-121.5526014
West Canal at Clifton Court Intake,WCI,37.8316051,-121.5540131
Yolo Bypass at Lisbon,LIS,38.474781,-121.588226
Tom Paine at Paradise Avenue Bridge,TPPA,37.773957,-121.382305
Old River downstream of Tracy WW Outfall (SOR7),OTWW,37.80642233,-121.408642
Old River upstream of Tracy Blvd Drain (SOR16U),OTBD,37.8019821,-121.4428305
Old River at Bethany Rd Drain (SOR24),OBRD,37.7853,-121.5046
Old River below of Paradise Cut Confluence,OBP,37.8042294,-121.420224
Old River above of Paradise Cut Confluence,OAP,37.806892,-121.414681
Wicklund Cut near Mouth (SOR28),WCNM,37.789726,-121.516244
Mountain House Creek (SOR31),MHCM,37.796918,-121.525642
Old River at Anchored ADCP Downstream,OAAU,37.782395,-121.498374
Old River at Anchored ADCP Upstream,OAAD,37.785827,-121.480866
Paradise Cut Upstream South Bridge,PCSB,37.79991312,-121.3690862
Paradise Cut Upstream North Bridge,PCNB,37.80111422,-121.3674915
Grant Line Canal Mid West,GCMW,37.820248,-121.5210173
Toe Drain at Screw Trap,STTD,38.353461,-121.642975
Toe Drain at I80 Bridge,I80,38.573111,-121.582958
Toe Drain at Road 22,RD22,38.676367,-121.643972
Ridge Cut Slough at Hwy 113,RCS,38.793457,-121.725447
Toe Drain at Rd. 22 West,R22W,38.676385,-121.644315
Union Island (USBR),UNI,37.8221,-121.375
Middle River @ Union Point - P10A,MUP,37.890778,-121.488361
Grant Ln Can @ Tracy Rd Bdg,GCT,37.820111,-121.449833
Doughty Cut near Grantline Canal,DGL,37.814717,-121.425209
Below Base of Toe Drain in Prospect Slough,BL5,38.27446,-121.665652
Rominger Bridge at Colusa Basin Drain,RMB,38.12214,-121.774258
Yolo Bypass at Tule Pond,YBT,38.75058,-121.63525
Old River near DMC Above Dam,OAD,37.81032,-121.54211
Old River at Paradise Cut Confluence Downstream,PCCD,37.804229,-121.420224
Old River at Paradise Cut Confluence Upstream,PCCU,37.806892,-121.414681
Paradise Cut Upstream,PDU,37.801027,-121.373089
Wicklund Cut at Bethany Rd Bridge,WCBR,37.780386,-121.5173208
