Taxname,FunctionalGroup,TaxonGroup,Lifestage,Taxlifestage,Biomass_ug,GrazingRate,Notes
Acanthocyclops_UnID,Predator,Cyclopoid,Adult,Acanthocyclops_UnID Adult,3.36,30,based on similar sized critters
Acartia_UnID,Omnivor,Calanoid,Adult,Acartia_UnID Adult,2.98,28,
Acartia_UnID,Omnivor,Calanoid,Juvenile,Acartia_UnID Juvenile,1.30,0.6,
Acartiella sinensis,Predator,Calanoid,Adult,Acartiella sinensis Adult,2.67,300,"Predatory, not herbivorous"
Acartiella_UnID,Predator,Calanoid,Juvenile,Acartiella_UnID Juvenile,1.16,6,based on ratio of adult/juvenile grazing in Acartia
Asplanchna_UnID,Predator,Rotifer,Adult,Asplanchna_UnID Adult,0.30,0.01,based on other rotifers
Bosmina longirostris,Herbivore,Cladocera,Adult,Bosmina longirostris Adult,0.60,1.2,
Brachionidae_UnID,Herbivore,Rotifer,Adult,Brachionidae_UnID Adult,0.1,0.01,based on other rotifers
Branchiopoda_UnID,Herbivore,Cladocera,Adult,Branchiopoda_UnID Adult,1.00,18,
Calanoida_UnID,Omnivor,Calanoid,Adult,Calanoida_UnID Adult,2.66,25,
Calanoida_UnID,Omnivor,Calanoid,Juvenile,Calanoida_UnID Juvenile,1.15,1,
Cirripedia_UnID,,Other,Larva,Cirripedia_UnID Larva,3.80,,
Copepoda_UnID,Herbivore,Nauplii,Larva,Copepoda_UnID Larva,0.10,0.1,
Cyclopoida_UnID,Omnivor,Cyclopoid,Adult,Cyclopoida_UnID Adult,1.00,1,
Cyclopoida_UnID,Omnivor,Cyclopoid,Juvenile,Cyclopoida_UnID Juvenile,0.10,0.1,
Daphnia_UnID,Herbivore,Cladocera,Adult,Daphnia_UnID Adult,4.00,18,
Daphniidae_UnID,Herbivore,Cladocera,Adult,Daphniidae_UnID Adult,4.00,18,
Decapoda_UnID,,Other,Larva,Decapoda_UnID Larva,,,
Diaptomidae_UnID,Omnivor,Calanoid,Adult,Diaptomidae_UnID Adult,4.00,25,
Diaptomidae_UnID,Omnivor,Calanoid,Juvenile,Diaptomidae_UnID Juvenile,2.00,3,
Eurytemora carolleeae,Herbivore,Calanoid,Adult,Eurytemora carolleeae Adult,3.55,32,
Eurytemora carolleeae,Herbivore,Calanoid,Juvenile,Eurytemora carolleeae Juvenile,1.44,5,
Eurytemora carolleeae,Herbivore,Nauplii,Larva,Eurytemora carolleeae Larva,0.10,0.1,
Eurytemora_UnID,Herbivore,Nauplii,Larva,Eurytemora_UnID Larva,0.10,0.1,
Harpacticoida_UnID,,Other,Undifferentiated,Harpacticoida_UnID Undifferentiated,,1,
Keratella_UnID,Herbivore,Rotifer,Adult,Keratella_UnID Adult,0.04,0.01,
Limnoithona sinensis,Omnivor,Cyclopoid,Adult,Limnoithona sinensis Adult,0.13,1,
Limnoithona tetraspina,Omnivor,Cyclopoid,Adult,Limnoithona tetraspina Adult,0.09,1,
Limnoithona_UnID,Omnivor,Cyclopoid,Adult,Limnoithona_UnID Adult,0.04,1,
Limnoithona_UnID,Omnivor,Cyclopoid,Juvenile,Limnoithona_UnID Juvenile,0.04,0.1,
Oithona davisae,Omnivor,Cyclopoid,Adult,Oithona davisae Adult,0.20,1,
Oithona similis,Omnivor,Cyclopoid,Adult,Oithona similis Adult,0.50,1,
Oithona_UnID,Omnivor,Cyclopoid,Adult,Oithona_UnID Adult,0.20,1,
Oithona_UnID,Omnivor,Cyclopoid,Juvenile,Oithona_UnID Juvenile,0.07,0.1,
Polyarthra_UnID,Herbivore,Rotifer,Adult,Polyarthra_UnID Adult,0.28,0.01,
Pseudodiaptomus forbesi,Omnivor,Calanoid,Adult,Pseudodiaptomus forbesi Adult,2.66,25,
Pseudodiaptomus marinus,Omnivor,Calanoid,Adult,Pseudodiaptomus marinus Adult,4.90,25,
Pseudodiaptomus_UnID,Omnivor,Calanoid,Adult,Pseudodiaptomus_UnID Adult,2.66,5,
Pseudodiaptomus_UnID,Omnivor,Calanoid,Juvenile,Pseudodiaptomus_UnID Juvenile,1.15,5,
Pseudodiaptomus_UnID,Herbivore,Nauplii,Larva,Pseudodiaptomus_UnID Larva,0.10,0.1,
Rotifera_UnID,Omnivor,Rotifer,Adult,Rotifera_UnID Adult,0.10,0.01,
Sinocalanus doerrii,Herbivore,Calanoid,Adult,Sinocalanus doerrii Adult,3.41,25,
Sinocalanus doerrii,Herbivore,Calanoid,Larva,Sinocalanus doerrii Larva,0.07,0.1,
Sinocalanus_UnID,Herbivore,Calanoid,Juvenile,Sinocalanus_UnID Juvenile,1.81,25,
Sinocalanus_UnID,Herbivore,Nauplii,Larva,Sinocalanus_UnID Larva,0.07,0.1,
Synchaeta bicornis,Omnivor,Rotifer,Adult,Synchaeta bicornis Adult,0.12,0.01,
Synchaeta_UnID,Omnivor,Rotifer,Adult,Synchaeta_UnID Adult,0.12,0.01,
Tortanus_UnID,Predator,Calanoid,Adult,Tortanus_UnID Adult,15.89,300,
Tortanus_UnID,Predator,Calanoid,Juvenile,Tortanus_UnID Juvenile,7.95,5,
Trichocerca_UnID,Herbivore,Rotifer,Adult,Trichocerca_UnID Adult,0.12,0.01,
